,sentence,title,key,value
0,44 2 1,0,0,0
1,,0,0,0
2,page 1 11,0,0,0
3,,0,0,0
4,safety data sheet sds,0,0,0
5,osha hazcom standard 29 cfr 1910 1200 g and ghs rev 03,0,0,0
6,,0,0,0
7,issue date 02 09 2017,0,0,0
8,,0,0,0
9,,0,0,0
10,reviewed on 02 09 2017,0,0,0
11,,0,0,0
12,1 identification,1,0,0
13,product identifier,0,0,0
14,trade name 10n sodium hydroxide naoh 40,0,0,0
15,product number ngt 10n naoh,0,0,0
16,relevant identified uses of the substance or mixture and uses advised against,0,0,0
17,no further relevant information available,0,0,0
18,product description pc21 laboratory chemicals,0,0,0
19,application of the substance the mixture laboratory chemicals,0,0,0
20,details of the supplier of the safety data sheet,0,0,0
21,manufacturer supplier,0,0,0
22,nugeneration technologies llc dba nugentec,0,0,0
23,1155 park avenue emeryville ca 94608,0,0,0
24,salesteam nugentec com,0,0,0
25,www nugentec com,0,0,0
26,1 888 996 8436 or 1 707 820 4080 for product information,0,0,0
27,emergency telephone number,0,0,0
28,pers emergency response domestic and canada 1 800 633 8253 international 1 801 629 0667,0,0,0
29,,0,0,0
30,,0,0,0
31,,0,0,0
32,2 hazard s identification,1,0,0
33,classification of the substance or mixture,0,0,0
34,,0,0,0
35,,0,0,0
36,,0,0,0
37,d,0,0,0
38,,0,0,0
39,ghs05 corrosion,0,0,0
40,,0,0,0
41,skin corr 1a h314 causes severe skin burns and eye damage,0,0,0
42,eye dam 1 h318 causes serious eye damage,0,0,0
43,label elements,0,0,0
44,ghs label elements,0,0,0
45,the product is classified and labeled according to the globally harmonized system ghs,0,0,0
46,hazard pictograms,0,0,0
47,,0,0,0
48,,0,0,0
49,,0,0,0
50,d,0,0,0
51,ghs05,0,0,0
52,,0,0,0
53,signal word danger,0,0,0
54,hazard determining components of labeling,0,0,0
55,sodium hydroxide,0,0,0
56,hazard statements,0,0,0
57,h314 causes severe skin burns and eye damage,0,0,0
58,precautionary statements,0,0,0
59,p260,0,0,0
60,do not breathe dusts or mists,0,0,0
61,p280,0,0,0
62,wear protective gloves protective clothing eye protection face protection,0,0,0
63,p264,0,0,0
64,wash thoroughly after handling,0,0,0
65,p303 p361 p353 if on skin or hair take off immediately all contaminated clothing rinse skin with,0,0,0
66,water shower,0,0,0
67,p305 p351 p338 if in eyes rinse cautiously with water for several minutes remove contact lenses,0,0,0
68,if present and easy to do continue rinsing,0,0,0
69,contd on page 2,0,0,0
70,,0,0,0
