,sentence,title,key,value
0,material safety data sheet,0,0,0
1,,0,0,0
2,byk 349,0,0,0
3,version 5,0,0,0
4,,0,0,0
5,revision date 02 04 2011,0,0,0
6,,0,0,0
7,print date 02 04 2011,0,0,0
8,,0,0,0
9,section 1 product and company identification,1,0,0
10,product name,0,0,0
11,product use description,0,0,0
12,,0,0,0
13,,0,0,0
14,,0,0,0
15,,0,0,0
16,byk 349,0,0,0
17,substrate wetting additive,0,0,0
18,,0,0,0
19,company,0,0,0
20,,0,0,0
21,,0,0,0
22,,0,0,0
23,prepared by,0,0,0
24,telephone,0,0,0
25,visit our web site,0,0,0
26,e mail address,0,0,0
27,emergency telephone,0,0,0
28,number,0,0,0
29,,0,0,0
30,,0,0,0
31,,0,0,0
32,,0,0,0
33,,0,0,0
34,,0,0,0
35,,0,0,0
36,byk usa inc,0,0,0
37,524 south cherry street,0,0,0
38,wallingford ct 06492,0,0,0
39,j nole safety m mccutcheon regulatory,0,0,0
40,203 265 2086,0,0,0
41,www byk com,0,0,0
42,ehs byk usa altana com,0,0,0
43,chemtrec 800 424 9300,0,0,0
44,,0,0,0
45,section 2 hazards identification,1,0,0
46,emergency overview,0,0,0
47,form,0,0,0
48,colour,0,0,0
49,odour,0,0,0
50,,0,0,0
51,liquid,0,0,0
52,light brown,0,0,0
53,not significant,0,0,0
54,,0,0,0
55,osha regulatory status,0,0,0
56,this material is considered hazardous by the osha hazard communication standard 29,0,0,0
57,cfr1910 1200,0,0,0
58,potential health effects,0,0,0
59,eyes,0,0,0
60,,0,0,0
61,contact will probably cause irritation,0,0,0
62,,0,0,0
63,skin,0,0,0
64,,0,0,0
65,contact will probably cause irritation,0,0,0
66,,0,0,0
67,ingestion,0,0,0
68,,0,0,0
69,ingestion may irritate the digestive tract,0,0,0
70,,0,0,0
71,inhalation,0,0,0
72,,0,0,0
73,high concentrations of heated vapors may irritate the,0,0,0
74,respiratory tract and mucous membranes,0,0,0
75,,0,0,0
76,chronic exposure,0,0,0
77,,0,0,0
78,no known chronic health effects,0,0,0
79,,0,0,0
80,aggravated medical,0,0,0
81,condition,0,0,0
82,,0,0,0
83,may be aggravating to some,0,0,0
84,skin conditions,0,0,0
85,asthma type conditions,0,0,0
86,,0,0,0
87,primary routes of entry,0,0,0
88,,0,0,0
89,inhalation,0,0,0
90,ingestion,0,0,0
91,eyes,0,0,0
92,skin absorption,0,0,0
93,skin contact,0,0,0
94,,0,0,0
95,1 9,0,0,0
96,,0,0,0
97,material safety data sheet,0,0,0
98,,0,0,0
99,byk 349,0,0,0
100,version 5,0,0,0
101,,0,0,0
102,revision date 02 04 2011,0,0,0
103,,0,0,0
104,print date 02 04 2011,0,0,0
105,,0,0,0
106,carcinogenicity,0,0,0
107,no component of this product present at levels greater than or equal to 0 1 is identified as probable,0,0,0
108,possible or confirmed human carcinogen by iarc,0,0,0
109,no component of this product present at levels greater than or equal to 0 1 is identified as a,0,0,0
110,carcinogen or potential carcinogen by osha,0,0,0
111,no component of this product present at levels greater than or equal to 0 1 is identified as a known,0,0,0
112,or anticipated carcinogen by ntp,0,0,0
113,no component of this product present at levels greater than or equal to 0 1 is identified as a,0,0,0
114,carcinogen or potential carcinogen by acgih,0,0,0
115,environmental effects,0,0,0
116,environmental effects,0,0,0
117,,0,0,0
118,no information available,0,0,0
119,,0,0,0
120,section 3 composition information on ingredients,1,0,0
121,chemical nature,0,0,0
122,polyether modified siloxane,0,0,0
123,hazardous components,0,0,0
124,the specific chemical identity weight percent of proprietary ingredient s is a trade secret,0,0,0
125,component,0,0,0
126,,0,0,0
127,cas no,0,0,0
128,,0,0,0
129,weight percent,0,0,0
130,,0,0,0
131,polyether,0,0,0
132,,0,0,0
133,,0,0,0
134,,0,0,0
135,10 00 30 00,0,0,0
136,,0,0,0
137,section 4 first aid measures,1,0,0
138,first aid procedures,0,0,0
139,inhalation,0,0,0
140,,0,0,0
141,,0,0,0
142,,0,0,0
143,remove to fresh air administer artificial respiration if,0,0,0
144,necessary get medical aid as soon as possible,0,0,0
145,,0,0,0
146,skin contact,0,0,0
147,,0,0,0
148,,0,0,0
149,,0,0,0
150,remove contaminated clothing wash thoroughly with soap,0,0,0
151,and water,0,0,0
152,,0,0,0
153,eye contact,0,0,0
154,,0,0,0
155,,0,0,0
156,,0,0,0
157,immediately flush with plenty of water for at least 20 minutes,0,0,0
158,get medical aid,0,0,0
159,,0,0,0
160,ingestion,0,0,0
161,,0,0,0
162,,0,0,0
163,,0,0,0
164,do not induce vomiting aspiration hazard dilute with 1 2,0,0,0
165,glasses of water get medical aid if vomiting occurs,0,0,0
166,spontaneously keep head below hips to prevent aspiration of,0,0,0
167,2 9,0,0,0
168,,0,0,0
169,material safety data sheet,0,0,0
170,,0,0,0
171,byk 349,0,0,0
172,version 5,0,0,0
173,,0,0,0
174,revision date 02 04 2011,0,0,0
175,,0,0,0
176,print date 02 04 2011,0,0,0
177,,0,0,0
178,liquid into lungs never give anything by mouth to an,0,0,0
179,unconscious person,0,0,0
180,notes to physician,0,0,0
181,risks,0,0,0
182,,0,0,0
183,,0,0,0
184,,0,0,0
185,no information available,0,0,0
186,,0,0,0
187,section 5 fire fighting measures,1,0,0
188,flammable properties,0,0,0
189,flash point,0,0,0
190,,0,0,0
191,,0,0,0
192,,0,0,0
193,100 c 212 f,0,0,0
194,method 49 pensky martens,0,0,0
195,,0,0,0
196,lower explosion limit,0,0,0
197,,0,0,0
198,,0,0,0
199,,0,0,0
200,no data available,0,0,0
201,,0,0,0
202,upper explosion limit,0,0,0
203,,0,0,0
204,,0,0,0
205,,0,0,0
206,no data available,0,0,0
207,,0,0,0
208,suitable extinguishing,0,0,0
209,media,0,0,0
210,,0,0,0
211,,0,0,0
212,,0,0,0
213,foam,0,0,0
214,carbon dioxide co2,0,0,0
215,dry chemical,0,0,0
216,,0,0,0
217,unsuitable extinguishing,0,0,0
218,media,0,0,0
219,special protective,0,0,0
220,equipment for fire fighters,0,0,0
221,specific hazards during fire,0,0,0
222,fighting,0,0,0
223,,0,0,0
224,,0,0,0
225,,0,0,0
226,no information available,0,0,0
227,,0,0,0
228,,0,0,0
229,,0,0,0
230,in the event of fire wear self contained breathing apparatus,0,0,0
231,,0,0,0
232,,0,0,0
233,,0,0,0
234,will not explode on mechanical impact,0,0,0
235,cool closed containers exposed to fire with water spray,0,0,0
236,,0,0,0
237,hazardous decomposition,0,0,0
238,products due to incomplete,0,0,0
239,combustion,0,0,0
240,,0,0,0
241,,0,0,0
242,,0,0,0
243,carbon oxides,0,0,0
244,silicone compounds,0,0,0
245,formaldehyde,0,0,0
246,chlorinated compounds,0,0,0
247,,0,0,0
248,further information,0,0,0
249,,0,0,0
250,,0,0,0
251,,0,0,0
252,keep away from oxidizing agents,0,0,0
253,,0,0,0
254,section 6 accidental release measures,1,0,0
255,personal precautions,0,0,0
256,,0,0,0
257,,0,0,0
258,,0,0,0
259,wear protective equipment goggles chemically resistant,0,0,0
260,clothing and gloves and appropriate respirator if in a confined,0,0,0
261,area,0,0,0
262,,0,0,0
263,environmental precautions,0,0,0
264,,0,0,0
265,,0,0,0
266,,0,0,0
267,prevent spilled material from entering the ground water and or,0,0,0
268,air by using appropriate containment methods,0,0,0
269,,0,0,0
270,methods for containment,0,0,0
271,,0,0,0
272,,0,0,0
273,,0,0,0
274,stop leak dike and contain spill,0,0,0
275,,0,0,0
276,3 9,0,0,0
277,,0,0,0
278,material safety data sheet,0,0,0
279,,0,0,0
280,byk 349,0,0,0
281,version 5,0,0,0
282,,0,0,0
283,revision date 02 04 2011,0,0,0
284,,0,0,0
285,print date 02 04 2011,0,0,0
286,,0,0,0
287,methods for cleaning up,0,0,0
288,,0,0,0
289,,0,0,0
290,,0,0,0
291,absorb with suitable material and remove with sparkless,0,0,0
292,shovel and or scoop,0,0,0
