,sentence,title,key,value
0,safety data sheet,0,0,0
1,the dow chemical company,0,0,0
2,product name carbowax sentry polyethylene,0,0,0
3,glycol 400 nf fcc grade macrogol 400 ph eur,0,0,0
4,,0,0,0
5,issue date 03 26 2015,0,0,0
6,print date 04 01 2015,0,0,0
7,,0,0,0
8,the dow chemical company encourages and expects you to read and understand the entire,0,0,0
9,m sds as there is important information throughout the document we expect you to follow the,0,0,0
10,precautions identified in this document unless your use conditions would necessitate other appropriate,0,0,0
11,methods or actions,0,0,0
12,,0,0,0
13,1 identification,1,0,0
14,product name carbowax sentry polyethylene glycol 400 nf fcc grade,0,0,0
15,macrogol 400 ph eur,0,0,0
16,recommended use of the chemical and restrictions on use,0,0,0
17,identified uses for the carbowax product line a partial list of applications include,0,0,0
18,pharmaceutical products personal care products automotive products household products,0,0,0
19,packaging products petroleum chemicals plastics inks coatings adhesives chemical intermediates,0,0,0
20,rubber processing lubricants metalworking fluids mold release agents ceramics and wood treating,0,0,0
21,carbowax sentry polyethylene glycol grades 300 8000 have clearances under fda it is,0,0,0
22,the responsibility of the user of this product to read and understand all applicable fda regulations in,0,0,0
23,title 21 of the code of federal regulations as well as any other applicable regulations caution for,0,0,0
24,,0,0,0
25,,0,0,0
26,food feed drug or cosmetic applications use carbowax sentry brands nf national,0,0,0
27,formulary fcc food chemical codex grade only sentry brand products are tested to meet,0,0,0
28,nf and fcc standards for these applications we recommend that you use this product in a manner,0,0,0
29,consistent with the listed use if your intended use is not consistent with the stated use please contact,0,0,0
30,your sales or technical service representative,0,0,0
31,company identification,0,0,0
32,the dow chemical company,0,0,0
33,2030 willard h dow center,0,0,0
34,midland mi 48674 0000,0,0,0
35,united states,0,0,0
36,customer information number,0,0,0
37,,0,0,0
38,800 258 2436,0,0,0
39,sdsquestion dow com,0,0,0
40,,0,0,0
41,emergency telephone number,0,0,0
42,24 hour emergency contact 800 424 9300,0,0,0
43,local emergency contact 989 636 4400,0,0,0
44,,0,0,0
45,2 hazards identification,1,0,0
46,hazard classification,0,0,0
47,this material is not hazardous under the criteria of the federal osha hazard communication,0,0,0
48,standard 29cfr 1910 1200,0,0,0
49,,0,0,0
50,trademark of the dow chemical company dow or an affiliated,0,0,0
51,company of dow,0,0,0
52,,0,0,0
53,page 1 of 10,0,0,0
54,,0,0,0
55,product name carbowax sentry polyethylene,0,0,0
56,glycol 400 nf fcc grade macrogol 400 ph eur,0,0,0
57,,0,0,0
58,issue date 03 26 2015,0,0,0
59,,0,0,0
60,other hazards,0,0,0
61,no data available,0,0,0
62,,0,0,0
63,3 composition information on ingredients,1,0,0
64,synonyms carbowax peg 400,0,0,0
65,this product is a substance,0,0,0
66,component,0,0,0
67,,0,0,0
68,casrn,0,0,0
69,,0,0,0
70,polyethylene glycol,0,0,0
71,,0,0,0
72,25322 68 3,0,0,0
73,,0,0,0
74,concentration,0,0,0
75,,0,0,0
76,99 0,0,0,0
77,,0,0,0
78,4 first aid measures,1,0,0
79,description of first aid measures,0,0,0
80,general advice if potential for exposure exists refer to section 8 for specific personal protective,0,0,0
81,equipment,0,0,0
82,inhalation move person to fresh air if effects occur consult a physician,0,0,0
83,skin contact wash off with plenty of water,0,0,0
84,eye contact flush eyes thoroughly with water for several minutes remove contact lenses after the,0,0,0
85,initial 1 2 minutes and continue flushing for several additional minutes if effects occur consult a,0,0,0
86,physician preferably an ophthalmologist,0,0,0
87,ingestion no emergency medical treatment necessary,0,0,0
88,most important symptoms and effects both acute and delayed aside from the information found,0,0,0
89,under description of first aid measures above and indication of immediate medical attention and,0,0,0
90,special treatment needed below any additional important symptoms and effects are described in,0,0,0
91,section 11 toxicology information,0,0,0
92,indication of any immediate medical attention and special treatment needed,0,0,0
93,notes to physician absorption may be promoted by damaged skin j pharm sci 1985,0,0,0
94,oct 74 10 1062 6 burns incl therm inj 1982 sep 9 1 49 52 no specific antidote treatment of,0,0,0
95,exposure should be directed at the control of symptoms and the clinical condition of the patient,0,0,0
96,,0,0,0
97,5 firefighting measures,1,0,0
98,suitable extinguishing media water fog or fine spray dry chemical fire extinguishers carbon,0,0,0
99,dioxide fire extinguishers foam alcohol resistant foams atc type are preferred general purpose,0,0,0
100,synthetic foams including afff or protein foams may function but will be less effective,0,0,0
101,unsuitable extinguishing media do not use direct water stream may spread fire,0,0,0
102,,0,0,0
103,page 2 of 10,0,0,0
104,,0,0,0
105,product name carbowax sentry polyethylene,0,0,0
106,glycol 400 nf fcc grade macrogol 400 ph eur,0,0,0
107,,0,0,0
108,issue date 03 26 2015,0,0,0
109,,0,0,0
110,special hazards arising from the substance or mixture,0,0,0
111,hazardous combustion products during a fire smoke may contain the original material in addition,0,0,0
112,to combustion products of varying composition which may be toxic and or irritating combustion,0,0,0
113,products may include and are not limited to carbon monoxide carbon dioxide,0,0,0
114,unusual fire and explosion hazards container may rupture from gas generation in a fire situation,0,0,0
115,violent steam generation or eruption may occur upon application of direct water stream to hot liquids,0,0,0
116,advice for firefighters,0,0,0
117,fire fighting procedures keep people away isolate fire and deny unnecessary entry use water,0,0,0
118,spray to cool fire exposed containers and fire affected zone until fire is out and danger of reignition has,0,0,0
119,passed fight fire from protected location or safe distance consider the use of unmanned hose,0,0,0
120,holders or monitor nozzles immediately withdraw all personnel from the area in case of rising sound,0,0,0
121,from venting safety device or discoloration of the container do not use direct water stream may,0,0,0
122,spread fire move container from fire area if this is possible without hazard burning liquids may be,0,0,0
123,moved by flushing with water to protect personnel and minimize property damage,0,0,0
124,special protective equipment for firefighters wear positive pressure self contained breathing,0,0,0
125,apparatus scba and protective fire fighting clothing includes fire fighting helmet coat trousers,0,0,0
126,boots and gloves if protective equipment is not available or not used fight fire from a protected,0,0,0
127,location or safe distance,0,0,0
128,,0,0,0
129,6 accidental release measures,1,0,0
130,personal precautions protective equipment and emergency procedures use appropriate safety,0,0,0
131,equipment for additional information refer to section 8 exposure controls and personal protection,0,0,0
132,environmental precautions prevent from entering into soil ditches sewers waterways and or,0,0,0
133,groundwater see section 12 ecological information,0,0,0
134,methods and materials for containment and cleaning up contain spilled material if possible,0,0,0
135,collect in suitable and properly labeled containers see section 13 disposal considerations for,0,0,0
136,additional information,0,0,0
137,,0,0,0
138,7 handling and storage,1,0,0
139,precautions for safe handling see section 8 exposure controls and personal,0,0,0
140,protection,0,0,0
141,conditions for safe storage store in original container use product promptly after opening avoid,0,0,0
142,prolonged exposure to heat and air store in the following material s stainless steel polypropylene,0,0,0
143,polyethylene lined container teflon glass lined container plasite 3066 lined container plasite,0,0,0
144,3070 lined container 316 stainless steel,0,0,0
145,storage stability,0,0,0
146,shelf life use within 36 month,0,0,0
147,,0,0,0
148,page 3 of 10,0,0,0
149,,0,0,0
150,product name carbowax sentry polyethylene,0,0,0
151,glycol 400 nf fcc grade macrogol 400 ph eur,0,0,0
152,,0,0,0
153,issue date 03 26 2015,0,0,0
154,,0,0,0
155,8 exposure controls personal protection,1,0,0
156,control parameters,0,0,0
157,exposure limits are listed below if they exist,0,0,0
158,component,0,0,0
159,,0,0,0
160,regulation,0,0,0
161,,0,0,0
162,polyethylene glycol,0,0,0
163,,0,0,0
164,type of listing,0,0,0
165,,0,0,0
166,us weel,0,0,0
167,,0,0,0
168,twa aerosol,0,0,0
169,,0,0,0
170,value notation,0,0,0
171,,0,0,0
172,10 mg m3,0,0,0
173,,0,0,0
174,exposure controls,0,0,0
175,engineering controls use local exhaust ventilation or other engineering controls to maintain,0,0,0
176,airborne levels below exposure limit requirements or guidelines if there are no applicable exposure,0,0,0
177,limit requirements or guidelines general ventilation should be sufficient for most operations local,0,0,0
178,exhaust ventilation may be necessary for some operations,0,0,0
179,individual protection measures,0,0,0
180,eye face protection use safety glasses with side shields,0,0,0
