,sentence,title,key,value
0,safety data sheet,0,0,0
1,osha 29 cfr 1910 1200,0,0,0
2,trade name disinfection wet wipes,0,0,0
3,,0,0,0
4,page 1 of 1,0,0,0
5,,0,0,0
6,sds report,0,0,0
7,jinhua dubei maternal and infant products co ltd,0,0,0
8,jindong economic development zone jinhua city zhejiang province 788 donggang north street,0,0,0
9,sds report no,0,0,0
10,,0,0,0
11,wux202003230651sds01,0,0,0
12,,0,0,0
13,compilation date,0,0,0
14,,0,0,0
15,mar 27 2020,0,0,0
16,,0,0,0
17,sample name,0,0,0
18,,0,0,0
19,disinfection wet wipes,0,0,0
20,,0,0,0
21,composition ingredient,0,0,0
22,,0,0,0
23,see section 3 on the sds,0,0,0
24,,0,0,0
25,of the sample,0,0,0
26,service requested,0,0,0
27,,0,0,0
28,safety data sheet sds for the sample with submitted composition,0,0,0
29,,0,0,0
30,summary,0,0,0
31,,0,0,0
32,as per request the contents and formats of the sds are prepared in,0,0,0
33,according with us regulations relating to labor 29 cfr 1910 1200 g,0,0,0
34,and is provided per attached,0,0,0
35,,0,0,0
36,note,0,0,0
37,,0,0,0
38,this report replace the report wux202003230651sds,0,0,0
39,changed transport information,0,0,0
40,,0,0,0
41,signed for and on behalf of,0,0,0
42,technical center,0,0,0
43,,0,0,0
44,____________________,0,0,0
45,,0,0,0
46,us osha sds,0,0,0
47,version no 1 0,0,0,0
48,trade name disinfection wet wipes,0,0,0
49,,0,0,0
50,page 1 of 7,0,0,0
51,issuing date mar 27 2020,0,0,0
52,print date mar 27 2020,0,0,0
53,,0,0,0
54,1 identification,1,0,0
55,product identifier,0,0,0
56,trade name disinfection wet wipes,0,0,0
57,recommended use of the chemical and restrictions on use,0,0,0
58,application of the substance mixture clean hands and disinfection,0,0,0
59,details of the supplier of the safety data sheet,0,0,0
60,manufacturer supplier,0,0,0
61,jinhua dubei maternal and infant products co ltd,0,0,0
62,jindong economic development zone jinhua city zhejiang province 788 donggang north street,0,0,0
63,tel 13957903789,0,0,0
64,email,0,0,0
65,further information obtainable from jinhua dubei maternal and infant products co ltd,0,0,0
66,emergency telephone number,0,0,0
67,miss wang,0,0,0
68,tel 13957903789,0,0,0
69,,0,0,0
70,2 hazard s identification,1,0,0
71,classification of the substance or mixture,0,0,0
72,ghs02 flame,0,0,0
73,flam liq 3,0,0,0
74,,0,0,0
75,h226,0,0,0
76,,0,0,0
77,flammable liquid and vapour,0,0,0
78,,0,0,0
79,ghs07 exclamation mark,0,0,0
80,eye irrit 2a,0,0,0
81,,0,0,0
82,h319,0,0,0
83,,0,0,0
84,causes serious eye irritation,0,0,0
85,,0,0,0
86,information concerning particular hazards for human and environment,0,0,0
87,the product has to be labeled due to the calculation procedure of osha hazard communication standard 29 cfr 1910 1200,0,0,0
88,classification system,0,0,0
89,the classification is according to the latest edition of osha hazard communication standard 29 cfr 1910 1200 and extended,0,0,0
90,by company and literature data,0,0,0
91,label elements,0,0,0
92,labeling according to osha hazard communication standard 29 cfr 1910 1200,0,0,0
93,hazard pictograms,0,0,0
94,,0,0,0
95,ghs02,0,0,0
96,,0,0,0
97,ghs07,0,0,0
98,,0,0,0
99,signal word warning,0,0,0
100,hazard statements,0,0,0
101,h226,0,0,0
102,,0,0,0
103,flammable liquid and vapour,0,0,0
104,,0,0,0
105,h319,0,0,0
106,,0,0,0
107,causes serious eye irritation,0,0,0
108,,0,0,0
109,us osha sds,0,0,0
110,version no 1 0,0,0,0
111,trade name disinfection wet wipes,0,0,0
112,,0,0,0
113,page 2 of 7,0,0,0
