,sentence,title,key,value
0,44 2 2,0,0,0
1,,0,0,0
2,page 1 11,0,0,0
3,,0,0,0
4,safety data sheet sds,0,0,0
5,osha hazcom standard 29 cfr 1910 1200 g and ghs rev 03,0,0,0
6,,0,0,0
7,issue date 02 13 2017,0,0,0
8,,0,0,0
9,,0,0,0
10,reviewed on 02 13 2017,0,0,0
11,,0,0,0
12,1 identification,1,0,0
13,product identifier,0,0,0
14,trade name hydrogen peroxide 35,0,0,0
15,relevant identified uses of the substance or mixture and uses advised against,0,0,0
16,product description pc21 laboratory chemicals,0,0,0
17,details of the supplier of the safety data sheet,0,0,0
18,manufacturer supplier,0,0,0
19,nugeneration technologies llc dba nugentec,0,0,0
20,1155 park avenue emeryville ca 94608,0,0,0
21,salesteam nugentec com,0,0,0
22,www nugentec com,0,0,0
23,1 888 996 8436 or 1 707 820 4080 for product information,0,0,0
24,emergency telephone number,0,0,0
25,pers emergency response domestic and canada 1 800 633 8253 international 1 801 629 0667,0,0,0
26,,0,0,0
27,,0,0,0
28,,0,0,0
29,2 hazard s identification,1,0,0
30,classification of the substance or mixture,0,0,0
31,,0,0,0
32,,0,0,0
33,,0,0,0
34,d,0,0,0
35,,0,0,0
36,ghs03 flame over circle,0,0,0
37,,0,0,0
38,ox liq 1,0,0,0
39,,0,0,0
40,,0,0,0
41,,0,0,0
42,d,0,0,0
43,,0,0,0
44,h271 may cause fire or explosion strong oxidizer,0,0,0
45,,0,0,0
46,ghs05 corrosion,0,0,0
47,,0,0,0
48,eye dam 1 h318 causes serious eye damage,0,0,0
49,,0,0,0
50,,0,0,0
51,,0,0,0
52,d,0,0,0
53,,0,0,0
54,ghs07,0,0,0
55,,0,0,0
56,skin irrit 2 h315 causes skin irritation,0,0,0
57,label elements,0,0,0
58,ghs label elements,0,0,0
59,the product is classified and labeled according to the globally harmonized system ghs,0,0,0
60,hazard pictograms,0,0,0
61,,0,0,0
62,d,0,0,0
63,,0,0,0
64,d,0,0,0
65,,0,0,0
66,,0,0,0
67,ghs03 ghs05,0,0,0
68,,0,0,0
69,signal word danger,0,0,0
70,hazard determining components of labeling,0,0,0
71,hydrogen peroxide solution,0,0,0
72,hazard statements,0,0,0
73,h271 may cause fire or explosion strong oxidizer,0,0,0
74,h315 causes skin irritation,0,0,0
75,h318 causes serious eye damage,0,0,0
76,,0,0,0
77,contd on page 2,0,0,0
78,us,0,0,0
79,,0,0,0
80,44 2 2,0,0,0
81,,0,0,0
82,page 2 11,0,0,0
83,,0,0,0
84,safety data sheet sds,0,0,0
85,osha hazcom standard 29 cfr 1910 1200 g and ghs rev 03,0,0,0
86,,0,0,0
87,issue date 02 13 2017,0,0,0
88,,0,0,0
89,reviewed on 02 13 2017,0,0,0
90,,0,0,0
91,trade name hydrogen peroxide 35,0,0,0
92,precautionary statements,0,0,0
93,p221,0,0,0
94,take any precaution to avoid mixing with combustibles,0,0,0
95,p283,0,0,0
96,wear fire flame resistant retardant clothing,0,0,0
97,p220,0,0,0
98,keep store away from clothing and other combustible materials,0,0,0
99,p280,0,0,0
100,wear protective gloves protective clothing eye protection face protection,0,0,0
101,p264,0,0,0
102,wash thoroughly after handling,0,0,0
103,p305 p351 p338 if in eyes rinse cautiously with water for several minutes remove contact lenses,0,0,0
104,if present and easy to do continue rinsing,0,0,0
105,p310,0,0,0
106,immediately call a poison center doctor,0,0,0
107,p306 p360,0,0,0
108,if on clothing rinse immediately contaminated clothing and skin with plenty of,0,0,0
109,water before removing clothes,0,0,0
110,p321,0,0,0
111,specific treatment see supplementary first aid instructions on this safety data,0,0,0
112,sheet,0,0,0
113,p371 p380 p375 in case of major fire and large quantities evacuate area fight fire remotely due to,0,0,0
114,the risk of explosion,0,0,0
115,p332 p313,0,0,0
116,if skin irritation occurs get medical advice attention,0,0,0
117,p370 p378,0,0,0
118,in case of fire use for extinction co2 powder or water spray,0,0,0
119,p302 p352,0,0,0
120,if on skin wash with plenty of water,0,0,0
121,p362 p364,0,0,0
122,take off contaminated clothing and wash it before reuse,0,0,0
123,p501,0,0,0
124,dispose of contents container in accordance with local regional national,0,0,0
125,international regulations,0,0,0
126,unknown acute toxicity,0,0,0
127,this value refers to knowledge of known established toxicological or ecotoxicological values,0,0,0
128,0 of the mixture consists of component s of unknown toxicity,0,0,0
129,classification system nfpa hmis definitions 0 least 1 slight 2 moderate 3 high 4 extreme,0,0,0
130,nfpa ratings scale 0 4,0,0,0
131,,0,0,0
132,2,0,0,0
133,,0,0,0
134,3,0,0,0
135,ox,0,0,0
136,,0,0,0
137,health 2,0,0,0
138,fire 3,0,0,0
139,reactivity 0,0,0,0
140,,0,0,0
141,0,0,0,0
142,,0,0,0
143,the substance possesses oxidizing properties,0,0,0
144,hmis ratings scale 0 4,0,0,0
145,health,0,0,0
146,,0,0,0
147,2,0,0,0
148,,0,0,0
149,fire,0,0,0
150,,0,0,0
151,3,0,0,0
152,,0,0,0
153,reactivity 0,0,0,0
154,,0,0,0
155,health 2,0,0,0
156,fire 3,0,0,0
157,reactivity 0,0,0,0
158,,0,0,0
159,hazard s not otherwise classified hnoc none known,0,0,0
160,,0,0,0
161,,0,0,0
162,3 composition information on ingredients,1,0,0
163,non hazardous components,0,0,0
164,7732 18 5 water distilled water deionized water,0,0,0
165,chemical characterization mixtures,0,0,0
166,description mixture of substances listed below with non hazardous additions,0,0,0
167,,0,0,0
168,60 90,0,0,0
169,,0,0,0
170,contd on page 3,0,0,0
171,us,0,0,0
172,,0,0,0
173,44 2 2,0,0,0
174,,0,0,0
175,page 3 11,0,0,0
176,,0,0,0
177,safety data sheet sds,0,0,0
178,osha hazcom standard 29 cfr 1910 1200 g and ghs rev 03,0,0,0
179,,0,0,0
180,issue date 02 13 2017,0,0,0
181,,0,0,0
182,reviewed on 02 13 2017,0,0,0
183,,0,0,0
184,trade name hydrogen peroxide 35,0,0,0
185,dangerous components,0,0,0
186,cas 7722 84 1,0,0,0
187,hydrogen peroxide solution,0,0,0
188,25 50,0,0,0
189,rtecs mx0887000 d,0,0,0
190,ox liq 1 h271 d,0,0,0
191,,0,0,0
192,skin corr 1a h314 d,0,0,0
193,,0,0,0
194,acute tox 4 h302,0,0,0
195,,0,0,0
196,acute tox 4 h332,0,0,0
197,additional information,0,0,0
