,sentence,title,key,value
0,isopropyl alcohol 2 propanol,0,0,0
1,safety data sheet,0,0,0
2,according to federal register vol 77 no 58 monday march 26 2012 rules and regulations,0,0,0
3,date of issue 11 14 2013,0,0,0
4,,0,0,0
5,revision date 01 23 2020,0,0,0
6,,0,0,0
7,supersedes 01 26 2018,0,0,0
8,,0,0,0
9,version 1 3,0,0,0
10,,0,0,0
11,section 1 identification,1,0,0
12,1 1,0,0,0
13,,0,0,0
14,identification,0,0,0
15,,0,0,0
16,product form,0,0,0
17,,0,0,0
18,substance,0,0,0
19,,0,0,0
20,substance name,0,0,0
21,,0,0,0
22,isopropyl alcohol 2 propanol,0,0,0
23,,0,0,0
24,cas no,0,0,0
25,,0,0,0
26,67 63 0,0,0,0
27,,0,0,0
28,product code,0,0,0
29,,0,0,0
30,lc15750,0,0,0
31,,0,0,0
32,formula,0,0,0
33,,0,0,0
34,c3h8o,0,0,0
35,,0,0,0
36,synonyms,0,0,0
37,,0,0,0
38,1 methylethanol 1 methylethyl alcohol 2 hydroxypropane dimethyl carbinol ethyl carbinol,0,0,0
39,hydroxypropane ipa i propanol isoethylcarbinol propan 2 ol sec propanol,0,0,0
40,,0,0,0
41,1 2,0,0,0
42,,0,0,0
43,recommended use and restrictions on use,0,0,0
44,,0,0,0
45,use of the substance mixture,0,0,0
46,,0,0,0
47,disinfectant,0,0,0
48,solvent,0,0,0
49,,0,0,0
50,recommended use,0,0,0
51,,0,0,0
52,laboratory chemicals,0,0,0
53,,0,0,0
54,restrictions on use,0,0,0
55,,0,0,0
56,not for food drug or household use,0,0,0
57,,0,0,0
58,1 3,0,0,0
59,,0,0,0
60,supplier,0,0,0
61,,0,0,0
62,labchem inc,0,0,0
63,jackson s pointe commerce park building 1000 1010 jackson s pointe court,0,0,0
64,zelienople pa 16063 usa,0,0,0
65,t 412 826 5230 f 724 473 0647,0,0,0
66,info labchem com www labchem com,0,0,0
67,1 4,0,0,0
68,,0,0,0
69,emergency telephone number,0,0,0
70,,0,0,0
71,emergency number,0,0,0
72,,0,0,0
73,chemtrec 1 800 424 9300 or 1 703 741 5970,0,0,0
74,,0,0,0
75,section 2 hazard s identification,1,0,0
76,2 1,0,0,0
77,,0,0,0
78,classification of the substance or mixture,0,0,0
79,,0,0,0
80,ghs us classification,0,0,0
81,flammable liquids category 2,0,0,0
82,serious eye damage eye irritation category 2a,0,0,0
83,specific target organ toxicity single exposure category 3,0,0,0
84,,0,0,0
85,h225 highly flammable liquid and vapour,0,0,0
86,h319 causes serious eye irritation,0,0,0
87,h335 may cause respiratory irritation,0,0,0
88,,0,0,0
89,full text of h statements see section 16,0,0,0
90,2 2,0,0,0
91,,0,0,0
92,ghs label elements including precautionary statements,0,0,0
93,,0,0,0
94,ghs us labeling,0,0,0
95,hazard pictograms ghs us,0,0,0
96,,0,0,0
97,,0,0,0
98,,0,0,0
99,signal word ghs us,0,0,0
100,,0,0,0
101,danger,0,0,0
102,,0,0,0
103,hazard statements ghs us,0,0,0
104,,0,0,0
105,h225 highly flammable liquid and vapour,0,0,0
106,h319 causes serious eye irritation,0,0,0
107,h335 may cause respiratory irritation,0,0,0
108,,0,0,0
109,precautionary statements ghs us,0,0,0
110,,0,0,0
111,p210 keep away from heat hot surfaces open flames sparks no smoking,0,0,0
112,p233 keep container tightly closed,0,0,0
113,p240 ground bond container and receiving equipment,0,0,0
114,p241 use explosion proof electrical lighting ventilating equipment,0,0,0
115,p242 use only non sparking tools,0,0,0
116,p243 take precautionary measures against static discharge,0,0,0
117,p261 avoid breathing mist vapors spray,0,0,0
