,sentence,title,key,value
0,44 2 2,0,0,0
1,,0,0,0
2,page 1 11,0,0,0
3,,0,0,0
4,safety data sheet sds,0,0,0
5,osha hazcom standard 29 cfr 1910 1200 g and ghs rev 03,0,0,0
6,,0,0,0
7,issue date 02 13 2017,0,0,0
8,,0,0,0
9,,0,0,0
10,reviewed on 02 13 2017,0,0,0
11,,0,0,0
12,1 identification,1,0,0
13,product identifier,0,0,0
14,trade name n n dimethylformamide,0,0,0
15,cas number,0,0,0
16,68 12 2,0,0,0
17,ec number,0,0,0
18,200 679 5,0,0,0
19,index number,0,0,0
20,616 001 00 x,0,0,0
21,relevant identified uses of the substance or mixture and uses advised against,0,0,0
22,no further relevant information available,0,0,0
23,product description pc19 intermediate,0,0,0
24,details of the supplier of the safety data sheet,0,0,0
25,manufacturer supplier,0,0,0
26,nugeneration technologies llc dba nugentec,0,0,0
27,1155 park avenue emeryville ca 94608,0,0,0
28,salesteam nugentec com,0,0,0
29,www nugentec com,0,0,0
30,1 888 996 8436 or 1 707 820 4080 for product information,0,0,0
31,emergency telephone number,0,0,0
32,pers emergency response domestic and canada 1 800 633 8253 international 1 801 629 0667,0,0,0
33,,0,0,0
34,,0,0,0
35,,0,0,0
36,2 hazard s identification,1,0,0
37,classification of the substance or mixture,0,0,0
38,,0,0,0
39,,0,0,0
40,,0,0,0
41,d,0,0,0
42,,0,0,0
43,ghs02 flame,0,0,0
44,,0,0,0
45,flam liq 3 h226 flammable liquid and vapor,0,0,0
46,,0,0,0
47,,0,0,0
48,,0,0,0
49,d,0,0,0
50,repr 1b,0,0,0
51,,0,0,0
52,,0,0,0
53,,0,0,0
54,d,0,0,0
55,,0,0,0
56,ghs08 health hazard,0,0,0
57,h360 may damage fertility or the unborn child,0,0,0
58,ghs07,0,0,0
59,,0,0,0
60,acute tox 4 h312 harmful in contact with skin,0,0,0
61,acute tox 4 h332 harmful if inhaled,0,0,0
62,eye irrit 2a h319 causes serious eye irritation,0,0,0
63,label elements,0,0,0
64,ghs label elements,0,0,0
65,the substance is classified and labeled according to the globally harmonized system ghs,0,0,0
66,,0,0,0
67,contd on page 2,0,0,0
68,us,0,0,0
69,,0,0,0
70,44 2 2,0,0,0
71,,0,0,0
72,page 2 11,0,0,0
73,,0,0,0
74,safety data sheet sds,0,0,0
75,osha hazcom standard 29 cfr 1910 1200 g and ghs rev 03,0,0,0
76,,0,0,0
77,issue date 02 13 2017,0,0,0
78,,0,0,0
79,reviewed on 02 13 2017,0,0,0
80,,0,0,0
81,trade name n n dimethylformamide,0,0,0
82,hazard pictograms,0,0,0
83,,0,0,0
84,d,0,0,0
85,,0,0,0
86,d,0,0,0
87,d,0,0,0
88,,0,0,0
89,,0,0,0
90,,0,0,0
91,ghs02 ghs07 ghs08,0,0,0
92,,0,0,0
93,signal word danger,0,0,0
94,hazard statements,0,0,0
95,h226,0,0,0
96,flammable liquid and vapor,0,0,0
97,h312 h332 harmful in contact with skin or if inhaled,0,0,0
98,h319,0,0,0
99,causes serious eye irritation,0,0,0
100,h360,0,0,0
101,may damage fertility or the unborn child,0,0,0
102,precautionary statements,0,0,0
103,p210,0,0,0
104,keep away from heat sparks open flames hot surfaces no smoking,0,0,0
105,p241,0,0,0
106,use explosion proof electrical ventilating lighting equipment,0,0,0
107,p261,0,0,0
108,avoid breathing dust fume gas mist vapors spray,0,0,0
109,p271,0,0,0
110,use only outdoors or in a well ventilated area,0,0,0
111,p280,0,0,0
112,wear protective gloves protective clothing eye protection face protection,0,0,0
113,p240,0,0,0
114,ground bond container and receiving equipment,0,0,0
115,p233,0,0,0
116,keep container tightly closed,0,0,0
117,p242,0,0,0
118,use only non sparking tools,0,0,0
119,p243,0,0,0
120,take precautionary measures against static discharge,0,0,0
121,p264,0,0,0
122,wash thoroughly after handling,0,0,0
123,p201,0,0,0
124,obtain special instructions before use,0,0,0
125,p202,0,0,0
126,do not handle until all safety precautions have been read and understood,0,0,0
127,p303 p361 p353 if on skin or hair take off immediately all contaminated clothing rinse skin with,0,0,0
128,water shower,0,0,0
129,p305 p351 p338 if in eyes rinse cautiously with water for several minutes remove contact lenses,0,0,0
130,if present and easy to do continue rinsing,0,0,0
131,p321,0,0,0
132,specific treatment see supplementary first aid instructions on this safety data,0,0,0
133,sheet,0,0,0
134,p304 p340,0,0,0
135,if inhaled remove person to fresh air and keep comfortable for breathing,0,0,0
136,p312,0,0,0
137,call a poison center doctor if you feel unwell,0,0,0
138,p308 p313,0,0,0
139,if exposed or concerned get medical advice attention,0,0,0
140,p337 p313,0,0,0
141,if eye irritation persists get medical advice attention,0,0,0
142,p370 p378,0,0,0
143,in case of fire use for extinction co2 powder or water spray,0,0,0
144,p302 p352,0,0,0
145,if on skin wash with plenty of water,0,0,0
146,p362 p364,0,0,0
147,take off contaminated clothing and wash it before reuse,0,0,0
148,p405,0,0,0
149,store locked up,0,0,0
150,p403 p235,0,0,0
151,store in a well ventilated place keep cool,0,0,0
152,p501,0,0,0
153,dispose of contents container in accordance with local regional national,0,0,0
154,international regulations,0,0,0
155,unknown acute toxicity,0,0,0
156,this value refers to knowledge of known established toxicological or ecotoxicological values,0,0,0
157,classification system nfpa hmis definitions 0 least 1 slight 2 moderate 3 high 4 extreme,0,0,0
158,contd on page 3,0,0,0
159,,0,0,0
160,us,0,0,0
161,,0,0,0
162,44 2 2,0,0,0
163,,0,0,0
164,page 3 11,0,0,0
165,,0,0,0
166,safety data sheet sds,0,0,0
167,osha hazcom standard 29 cfr 1910 1200 g and ghs rev 03,0,0,0
168,,0,0,0
169,issue date 02 13 2017,0,0,0
170,,0,0,0
171,reviewed on 02 13 2017,0,0,0
172,,0,0,0
173,trade name n n dimethylformamide,0,0,0
174,nfpa ratings scale 0 4,0,0,0
175,,0,0,0
176,2,0,0,0
177,,0,0,0
178,2,0,0,0
179,,0,0,0
180,health 2,0,0,0
181,fire 2,0,0,0
182,reactivity 0,0,0,0
183,,0,0,0
184,0,0,0,0
185,,0,0,0
186,hmis ratings scale 0 4,0,0,0
187,health,0,0,0
188,,0,0,0
189,2,0,0,0
190,,0,0,0
191,fire,0,0,0
192,,0,0,0
193,2,0,0,0
194,,0,0,0
195,reactivity 0,0,0,0
196,,0,0,0
197,health 2,0,0,0
198,fire 2,0,0,0
