,sentence,title,key,value
0,revision date 10 11 2017,0,0,0
1,,0,0,0
2,revision 2,0,0,0
3,,0,0,0
4,supersedes date 5 23 2017,0,0,0
5,,0,0,0
6,safety data sheet,0,0,0
7,omnirad 184,0,0,0
8,according to appendix d osha hazard communication standard 29 cfr 1910 1200,0,0,0
9,,0,0,0
10,1 identification,1,0,0
11,product identifier,0,0,0
12,product name,0,0,0
13,,0,0,0
14,omnirad 184,0,0,0
15,,0,0,0
16,chemical name,0,0,0
17,,0,0,0
18,hydroxycyclohexyl phenyl ketone,0,0,0
19,,0,0,0
20,cas number,0,0,0
21,,0,0,0
22,947 19 3,0,0,0
23,,0,0,0
24,recommended use of the chemical and restrictions on use,0,0,0
25,application,0,0,0
26,,0,0,0
27,photoinitiator,0,0,0
28,,0,0,0
29,uses advised against,0,0,0
30,,0,0,0
31,no specific uses advised against are identified,0,0,0
32,,0,0,0
33,details of the supplier of the safety data sheet,0,0,0
34,supplier,0,0,0
35,,0,0,0
36,www igmresins com,0,0,0
37,igm resins usa inc,0,0,0
38,3300 westinghouse blvd,0,0,0
39,charlotte nc 28273 united states,0,0,0
40,regulatory igmresins com,0,0,0
41,t 1 630 213 1616,0,0,0
42,f 1 704 450 6484,0,0,0
43,,0,0,0
44,emergency telephone number,0,0,0
45,emergency telephone,0,0,0
46,,0,0,0
47,italy 39 0362 512868,0,0,0
48,emea 1 760 476 3961 access code 333 293,0,0,0
49,us 1 760 476 3962 access code 333 293,0,0,0
50,,0,0,0
51,2 hazard s identification,1,0,0
52,classification of the substance or mixture,0,0,0
53,physical hazards,0,0,0
54,,0,0,0
55,not classified,0,0,0
56,,0,0,0
57,health hazards,0,0,0
58,,0,0,0
59,not classified,0,0,0
60,,0,0,0
61,environmental hazards,0,0,0
62,,0,0,0
63,not classified,0,0,0
64,,0,0,0
65,label elements,0,0,0
66,hazard statements,0,0,0
67,,0,0,0
68,nc not classified,0,0,0
69,,0,0,0
70,precautionary statements,0,0,0
71,,0,0,0
72,p280 wear protective gloves protective clothing eye protection face protection,0,0,0
73,p501 dispose of contents container in accordance with national regulations,0,0,0
74,,0,0,0
75,other hazards,0,0,0
76,dust may form explosive mixture with air this product does not contain any substances classified as pbt or vpvb,0,0,0
77,3 composition information on ingredients,1,0,0
78,substances,0,0,0
79,product name,0,0,0
80,,0,0,0
81,omnirad 184,0,0,0
82,1 11,0,0,0
83,,0,0,0
84,revision date 10 11 2017,0,0,0
85,,0,0,0
86,revision 2,0,0,0
87,,0,0,0
88,supersedes date 5 23 2017,0,0,0
89,,0,0,0
90,omnirad 184,0,0,0
91,chemical name,0,0,0
92,,0,0,0
93,hydroxycyclohexyl phenyl ketone,0,0,0
94,,0,0,0
95,cas number,0,0,0
96,,0,0,0
97,947 19 3,0,0,0
98,,0,0,0
99,4 first aid measures,1,0,0
100,description of first aid measures,0,0,0
101,general information,0,0,0
102,,0,0,0
103,remove affected person from source of contamination get medical attention,0,0,0
104,,0,0,0
105,inhalation,0,0,0
106,,0,0,0
107,remove victim to fresh air and keep at rest in a position comfortable for breathing place,0,0,0
108,unconscious person on their side in the recovery position and ensure breathing can take,0,0,0
109,place maintain an open airway loosen tight clothing such as collar tie or belt when,0,0,0
110,breathing is difficult properly trained personnel may assist affected person by administering,0,0,0
111,oxygen if breathing stops provide artificial respiration get medical attention,0,0,0
112,,0,0,0
113,ingestion,0,0,0
114,,0,0,0
115,move affected person to fresh air and keep warm and at rest in a position comfortable for,0,0,0
116,breathing loosen tight clothing such as collar tie or belt do not induce vomiting unless,0,0,0
117,under the direction of medical personnel rinse nose and mouth with water never give,0,0,0
118,anything by mouth to an unconscious person place unconscious person on their side in the,0,0,0
119,recovery position and ensure breathing can take place get medical attention,0,0,0
120,,0,0,0
121,skin contact,0,0,0
122,,0,0,0
123,rinse immediately contaminated clothing and skin with plenty of water before removing,0,0,0
124,clothes wash with plenty of soap and water continue to rinse for at least 15 minutes get,0,0,0
125,medical attention if any discomfort continues,0,0,0
126,,0,0,0
127,eye contact,0,0,0
128,,0,0,0
129,remove affected person from source of contamination remove any contact lenses and open,0,0,0
130,eyelids wide apart rinse with water continue to rinse for at least 15 minutes and get medical,0,0,0
131,attention,0,0,0
132,,0,0,0
133,protection of first aiders,0,0,0
134,,0,0,0
135,first aid personnel should wear appropriate protective equipment during any rescue for,0,0,0
136,personal protection see section 8,0,0,0
137,,0,0,0
138,most important symptoms and effects both acute and delayed,0,0,0
139,general information,0,0,0
140,,0,0,0
141,see section 11 for additional information on health hazards,0,0,0
142,,0,0,0
143,inhalation,0,0,0
144,,0,0,0
145,dust may irritate the respiratory system,0,0,0
146,,0,0,0
147,ingestion,0,0,0
148,,0,0,0
149,may cause discomfort if swallowed,0,0,0
150,,0,0,0
151,skin contact,0,0,0
152,,0,0,0
153,a single exposure may cause the following adverse effects redness irritation dryness,0,0,0
154,and or cracking,0,0,0
155,,0,0,0
156,eye contact,0,0,0
157,,0,0,0
158,dust in the eyes will cause irritation,0,0,0
159,,0,0,0
160,indication of immediate medical attention and special treatment needed,0,0,0
161,notes for the doctor,0,0,0
162,,0,0,0
163,treat symptomatically,0,0,0
164,,0,0,0
165,5 fire fighting measures,1,0,0
166,extinguishing media,0,0,0
167,suitable extinguishing media,0,0,0
168,,0,0,0
169,use fire extinguishing media suitable for the surrounding fire extinguish with alcohol resistant,0,0,0
170,foam carbon dioxide dry powder or water fog,0,0,0
171,,0,0,0
