,sentence,title,key,value
0,safety data sheet,0,0,0
1,creation date 19 nov 2008,0,0,0
2,,0,0,0
3,revision date 23 jan 2018,0,0,0
4,,0,0,0
5,revision number 3,0,0,0
6,,0,0,0
7,1 identification,1,0,0
8,product name,0,0,0
9,,0,0,0
10,phthalic anhydride,0,0,0
11,,0,0,0
12,cat no,0,0,0
13,,0,0,0
14,ac423320000 ac423320020 ac423320050 ac423320250,0,0,0
15,ac423325000,0,0,0
16,,0,0,0
17,cas no,0,0,0
18,synonyms,0,0,0
19,,0,0,0
20,85 44 9,0,0,0
21,1 3 isobenzofurandione,0,0,0
22,,0,0,0
23,laboratory chemicals,0,0,0
24,recommended use,0,0,0
25,food drug pesticide or biocidal product use,0,0,0
26,uses advised against,0,0,0
27,details of the supplier of the safety data sheet,0,0,0
28,company,0,0,0
29,fisher scientific,0,0,0
30,one reagent lane,0,0,0
31,fair lawn nj 07410,0,0,0
32,tel 201 796 7100,0,0,0
33,,0,0,0
34,acros organics,0,0,0
35,one reagent lane,0,0,0
36,fair lawn nj 07410,0,0,0
37,,0,0,0
38,emergency telephone number,0,0,0
39,for information us call 001 800 acros 01 europe call 32 14 57 52 11,0,0,0
40,emergency number us 001 201 796 7100 europe 32 14 57 52 99,0,0,0
41,chemtrec tel no us 001 800 424 9300 europe 001 703 527 3887,0,0,0
42,,0,0,0
43,2 hazard s identification,1,0,0
44,classification,0,0,0
45,this chemical is considered hazardous by the 2012 osha hazard communication standard 29 cfr 1910 1200,0,0,0
46,,0,0,0
47,acute oral toxicity,0,0,0
48,skin corrosion irritation,0,0,0
49,serious eye damage eye irritation,0,0,0
50,respiratory sensitization,0,0,0
51,skin sensitization,0,0,0
52,specific target organ toxicity single exposure,0,0,0
53,target organs respiratory system,0,0,0
54,combustible dust,0,0,0
55,,0,0,0
56,category 4,0,0,0
57,category 2,0,0,0
58,category 1,0,0,0
59,category 1,0,0,0
60,category 1,0,0,0
61,category 3,0,0,0
62,yes,0,0,0
63,,0,0,0
64,label elements,0,0,0
65,signal word,0,0,0
66,danger,0,0,0
67,,0,0,0
68,______________________________________________________________________________________________,0,0,0
69,page 1 8,0,0,0
70,,0,0,0
