,sentence,title,key,value
0,safety data sheet,0,0,0
1,,0,0,0
2,1 identification,1,0,0
3,product identifier,0,0,0
4,,0,0,0
5,horizon blue clarifier,0,0,0
6,,0,0,0
7,other means of identification,0,0,0
8,,0,0,0
9,none,0,0,0
10,,0,0,0
11,recommended use,0,0,0
12,,0,0,0
13,all proper and legal purposes,0,0,0
14,,0,0,0
15,recommended restrictions,0,0,0
16,,0,0,0
17,none known,0,0,0
18,,0,0,0
19,manufacturer importer supplier distributor information,0,0,0
20,manufacturer,0,0,0
21,company name,0,0,0
22,address,0,0,0
23,telephone,0,0,0
24,e mail,0,0,0
25,emergency phone number,0,0,0
26,,0,0,0
27,horizon chemical co inc,0,0,0
28,2125 energy park drive,0,0,0
29,st paul mn 55108,0,0,0
30,651 917 3075,0,0,0
31,not available,0,0,0
32,800 535 5053,0,0,0
33,,0,0,0
34,infotrack,0,0,0
35,,0,0,0
36,2 hazard s identification,1,0,0
37,physical hazards,0,0,0
38,,0,0,0
39,not classified,0,0,0
40,,0,0,0
41,health hazards,0,0,0
42,,0,0,0
43,not classified,0,0,0
44,,0,0,0
45,environmental hazards,0,0,0
46,,0,0,0
47,not classified,0,0,0
48,,0,0,0
49,osha defined hazards,0,0,0
50,,0,0,0
51,not classified,0,0,0
52,,0,0,0
53,label elements,0,0,0
54,hazard symbol,0,0,0
55,,0,0,0
56,none,0,0,0
57,,0,0,0
58,signal word,0,0,0
59,,0,0,0
60,none,0,0,0
61,,0,0,0
62,hazard statement,0,0,0
63,,0,0,0
64,the substance does not meet the criteria for classification,0,0,0
65,,0,0,0
66,precautionary statement,0,0,0
67,prevention,0,0,0
68,response,0,0,0
69,,0,0,0
70,observe good industrial hygiene practices,0,0,0
71,wash hands after handling,0,0,0
72,,0,0,0
73,storage,0,0,0
74,,0,0,0
75,store away from incompatible materials,0,0,0
76,,0,0,0
77,disposal,0,0,0
78,,0,0,0
79,dispose of waste and residues in accordance with local authority requirements,0,0,0
80,,0,0,0
81,hazard s not otherwise,0,0,0
82,classified hnoc,0,0,0
83,,0,0,0
84,none known,0,0,0
85,,0,0,0
86,supplemental information,0,0,0
87,,0,0,0
88,none,0,0,0
89,,0,0,0
90,3 composition information on ingredients,1,0,0
91,substances,0,0,0
92,common name and synonyms,0,0,0
93,,0,0,0
94,chemical name,0,0,0
95,horizon blue clarifier,0,0,0
96,,0,0,0
97,cas number,0,0,0
98,,0,0,0
99,,0,0,0
100,,0,0,0
101,not listed,0,0,0
102,,0,0,0
103,100,0,0,0
104,,0,0,0
105,designates that a specific chemical identity and or percentage of composition has been withheld as a trade secret,0,0,0
106,,0,0,0
107,4 first aid measures,1,0,0
108,inhalation,0,0,0
109,,0,0,0
110,move to fresh air call a physician if symptoms develop or persist,0,0,0
111,,0,0,0
112,skin contact,0,0,0
113,,0,0,0
114,wash off with soap and water get medical attention if irritation develops and persists,0,0,0
115,,0,0,0
116,eye contact,0,0,0
117,,0,0,0
118,rinse with water get medical attention if irritation develops and persists,0,0,0
119,,0,0,0
120,ingestion,0,0,0
121,,0,0,0
122,rinse mouth get medical attention if symptoms occur,0,0,0
123,,0,0,0
124,most important,0,0,0
125,symptoms effects acute and,0,0,0
126,delayed,0,0,0
127,,0,0,0
128,direct contact with eyes may cause temporary irritation,0,0,0
129,,0,0,0
130,material name horizon blue clarifier,0,0,0
131,issue date 05 09 2015,0,0,0
132,,0,0,0
133,sos us,0,0,0
134,1 i6,0,0,0
135,,0,0,0
136,indication of immediate,0,0,0
137,medical attention and special,0,0,0
138,treatment needed,0,0,0
139,,0,0,0
140,treat symptomatically,0,0,0
141,,0,0,0
142,general information,0,0,0
143,,0,0,0
144,ensure that medical personnel are aware of the material s involved and take precautions to,0,0,0
145,protect themselves,0,0,0
146,,0,0,0
147,5 fire fighting measures,1,0,0
148,suitable extinguishing media,0,0,0
149,,0,0,0
150,water fog foam dry chemical powder carbon dioxide c02,0,0,0
151,,0,0,0
152,unsuitable extinguishing,0,0,0
153,media,0,0,0
154,,0,0,0
155,do not use water jet as an extinguisher as this will spread the fire,0,0,0
156,,0,0,0
157,specific hazards arising from,0,0,0
158,the chemical,0,0,0
159,,0,0,0
160,during fire gases hazardous to health may be formed,0,0,0
161,,0,0,0
162,special protective equipment,0,0,0
163,and precautions for firefighters,0,0,0
164,,0,0,0
165,self contained breathing apparatus and full protective clothing must be worn in case of fire,0,0,0
166,,0,0,0
167,fire fighting,0,0,0
168,equipment instructions,0,0,0
169,,0,0,0
170,move containers from fire area if you can do so without risk,0,0,0
171,,0,0,0
172,specific methods,0,0,0
173,,0,0,0
174,use standard firefighting procedures and consider the hazards of other involved materials,0,0,0
175,,0,0,0
176,general fire hazards,0,0,0
177,,0,0,0
178,no unusual fire or explosion hazards noted,0,0,0
179,,0,0,0
180,6 accidental release measures,1,0,0
181,personal precautions,0,0,0
182,protective equipment and,0,0,0
183,emergency procedures,0,0,0
184,,0,0,0
185,keep unnecessary personnel away for personal protection see section 8 of the sds,0,0,0
186,,0,0,0
187,methods and materials for,0,0,0
188,containment and cleaning up,0,0,0
189,,0,0,0
