,sentence,title,key,value
0,safety data sheet in accordance with regulation eu,0,0,0
1,no 453 2010,0,0,0
2,page 1 8,0,0,0
3,,0,0,0
4,savinyl orange rls,0,0,0
5,substance key ks7032,0,0,0
6,version 1 5 eu,0,0,0
7,,0,0,0
8,revision date 25 11 2010,0,0,0
9,date of printing 21 06 2011,0,0,0
10,,0,0,0
11,section 1 identification of the substance mixture and of the,0,0,0
12,company undertaking,0,0,0
13,1 1 product identifier,0,0,0
14,trade name,0,0,0
15,savinyl orange rls,0,0,0
16,material number 103327,0,0,0
17,1 2 relevant identified uses of the substance or mixture and uses advised against,0,0,0
18,relevant identified uses of the substance or mixture,0,0,0
19,industry sector,0,0,0
20,paints lacquers and varnishes industry,0,0,0
21,type of use,0,0,0
22,dye for special industries,0,0,0
23,1 3 details of the supplier of the safety data sheet,0,0,0
24,identification of the company,0,0,0
25,clariant production france,0,0,0
26,usine de huningue,0,0,0
27,avenue de bâle,0,0,0
28,68331 huningue,0,0,0
29,telephone no 33 3 89 89 60 00,0,0,0
30,information about the substance mixture,0,0,0
31,division pigments additives,0,0,0
32,tel 33 3 89 89 63 38,0,0,0
33,e mail france productsafety clariant com,0,0,0
34,1 4 emergency telephone number,0,0,0
35,33 1 45 42 59 59 24 h,0,0,0
36,,0,0,0
37,section 2 hazards identification,1,0,0
38,2 1 classification of the substance or mixture,0,0,0
39,2 2 label elements,0,0,0
40,labelling according clp regulation regulation ec no 1272 2008 as amended,0,0,0
41,the product does not require classification and labelling as hazardous according to,0,0,0
42,clp ghs,0,0,0
43,2 3 other hazards,0,0,0
44,according to the present state of knowledge provided that this product is handled correctly,0,0,0
45,there is no known danger to humans,0,0,0
46,,0,0,0
47,section 3 composition information on ingredients,1,0,0
48,3 1 substances,0,0,0
49,chemical characterization,0,0,0
50,,0,0,0
51,safety data sheet in accordance with regulation eu,0,0,0
52,no 453 2010,0,0,0
53,page 2 8,0,0,0
54,,0,0,0
55,savinyl orange rls,0,0,0
56,substance key ks7032,0,0,0
57,version 1 5 eu,0,0,0
58,,0,0,0
59,revision date 25 11 2010,0,0,0
60,date of printing 21 06 2011,0,0,0
61,,0,0,0
62,azo dyestuff chromium complex c i solvent orange 41,0,0,0
63,,0,0,0
64,section 4 first aid measures,1,0,0
65,4 1 description of first aid measures,0,0,0
66,general information,0,0,0
67,seek medical assistance if discomfort continues,0,0,0
