,sentence,title,key,value
0,safety data sheet,0,0,0
1,sledgehammer heat cure powder,0,0,0
2,,0,0,0
3,section 1 identification,1,0,0
4,ghs product identifier,0,0,0
5,,0,0,0
6,sledgehammer heat cure powder,0,0,0
7,,0,0,0
8,other means of,0,0,0
9,identification,0,0,0
10,,0,0,0
11,not available,0,0,0
12,,0,0,0
13,product code,0,0,0
14,,0,0,0
15,1000494 496 1000498 500 1000502 504 1000543 545 1001960 964,0,0,0
16,,0,0,0
17,product type,0,0,0
18,product use,0,0,0
19,,0,0,0
20,powder,0,0,0
21,dental products,0,0,0
22,polymer,0,0,0
23,relevant identified uses of the substance or mixture and uses advised against,0,0,0
24,not applicable,0,0,0
25,supplier s details,0,0,0
26,,0,0,0
27,keystone industries,0,0,0
28,616 hollywood ave,0,0,0
29,cherry hill nj 08002,0,0,0
30,856 663 4700,0,0,0
31,,0,0,0
32,emergency telephone,0,0,0
33,number with hours of,0,0,0
34,operation,0,0,0
35,,0,0,0
36,800 535 5053,0,0,0
37,,0,0,0
38,section 2 hazards identification,1,0,0
39,osha hcs status,0,0,0
40,classification of the,0,0,0
41,substance or mixture,0,0,0
42,,0,0,0
43,this material is considered hazardous by the osha hazard communication standard,0,0,0
44,29 cfr 1910 1200,0,0,0
45,combustible dusts,0,0,0
46,carcinogenicity category 2,0,0,0
47,toxic to reproduction unborn child category 1b,0,0,0
48,toxic to reproduction fertility category 2,0,0,0
49,percentage of the mixture consisting of ingredient s of unknown toxicity 99,0,0,0
50,,0,0,0
51,ghs label elements,0,0,0
52,hazard pictograms,0,0,0
53,,0,0,0
54,,0,0,0
55,,0,0,0
56,signal word,0,0,0
57,,0,0,0
58,danger,0,0,0
59,,0,0,0
60,hazard statements,0,0,0
61,,0,0,0
62,may form combustible dust concentrations in air,0,0,0
63,may damage the unborn child,0,0,0
64,suspected of damaging fertility,0,0,0
65,suspected of causing cancer,0,0,0
66,,0,0,0
67,precautionary statements,0,0,0
68,prevention,0,0,0
69,,0,0,0
70,response,0,0,0
71,,0,0,0
72,obtain special instructions before use do not handle until all safety precautions have,0,0,0
73,been read and understood wear protective gloves wear eye or face protection,0,0,0
74,wear protective clothing,0,0,0
75,if exposed or concerned get medical attention,0,0,0
76,,0,0,0
77,storage,0,0,0
78,,0,0,0
79,store locked up,0,0,0
80,,0,0,0
81,disposal,0,0,0
82,,0,0,0
83,dispose of contents and container in accordance with all local regional national and,0,0,0
84,international regulations,0,0,0
85,keep container tightly closed keep away from heat hot surfaces sparks open flames,0,0,0
86,and other ignition sources no smoking prevent dust accumulation,0,0,0
87,,0,0,0
88,supplemental label,0,0,0
89,elements,0,0,0
90,date of issue date of revision,0,0,0
91,,0,0,0
92,5 22 2015,0,0,0
93,,0,0,0
94,date of previous issue,0,0,0
95,,0,0,0
96,5 19 2015,0,0,0
97,,0,0,0
98,version,0,0,0
99,,0,0,0
100,2,0,0,0
101,,0,0,0
102,1 13,0,0,0
103,,0,0,0
104,sledgehammer heat cure powder,0,0,0
105,,0,0,0
106,section 2 hazards identification,1,0,0
107,hazards not otherwise,0,0,0
108,classified,0,0,0
109,,0,0,0
110,fine dust clouds may form explosive mixtures with air handling and or processing of,0,0,0
111,this material may generate a dust which can cause mechanical irritation of the eyes,0,0,0
112,skin nose and throat,0,0,0
113,,0,0,0
114,section 3 composition information on ingredients,1,0,0
115,substance mixture,0,0,0
116,,0,0,0
117,mixture,0,0,0
118,,0,0,0
119,other means of,0,0,0
120,identification,0,0,0
121,,0,0,0
122,not available,0,0,0
123,,0,0,0
124,cas number other identifiers,0,0,0
125,cas number,0,0,0
126,not applicable,0,0,0
127,may contain one or more of the following components in quantities considered hazardous,0,0,0
128,ingredient name,0,0,0
129,,0,0,0
130,cas number,0,0,0
131,,0,0,0
132,dibutyl phthalate,0,0,0
133,titanium dioxide,0,0,0
134,,0,0,0
135,84 74 2,0,0,0
136,13463 67 7,0,0,0
137,,0,0,0
138,ec number,0,0,0
139,201 557 4,0,0,0
140,236 675 5,0,0,0
141,,0,0,0
142,,0,0,0
143,1 5,0,0,0
144,0 1 1,0,0,0
145,,0,0,0
146,any concentration shown as a range is to protect confidentiality or is due to batch variation,0,0,0
147,there are no additional ingredients present which within the current knowledge of the supplier and in the,0,0,0
148,concentrations applicable are classified as hazardous to health or the environment and hence require reporting,0,0,0
149,in this section,0,0,0
150,occupational exposure limits if available are listed in section 8,0,0,0
151,,0,0,0
152,section 4 first aid measures,1,0,0
153,description of necessary first aid measures,0,0,0
154,eye contact,0,0,0
155,,0,0,0
156,inhalation,0,0,0
157,,0,0,0
158,skin contact,0,0,0
159,,0,0,0
160,ingestion,0,0,0
161,,0,0,0
162,immediately flush eyes with plenty of water occasionally lifting the upper and lower,0,0,0
163,eyelids check for and remove any contact lenses continue to rinse for at least 10,0,0,0
164,minutes get medical attention,0,0,0
165,remove victim to fresh air and keep at rest in a position comfortable for breathing if,0,0,0
166,not breathing if breathing is irregular or if respiratory arrest occurs provide artificial,0,0,0
167,respiration or oxygen by trained personnel it may be dangerous to the person providing,0,0,0
168,aid to give mouth to mouth resuscitation get medical attention if unconscious place,0,0,0
169,in recovery position and get medical attention immediately maintain an open airway,0,0,0
170,loosen tight clothing such as a collar tie belt or waistband,0,0,0
171,flush contaminated skin with plenty of water remove contaminated clothing and,0,0,0
172,shoes wash contaminated clothing thoroughly with water before removing it or wear,0,0,0
173,gloves continue to rinse for at least 10 minutes get medical attention wash clothing,0,0,0
174,before reuse clean shoes thoroughly before reuse,0,0,0
175,wash out mouth with water remove dentures if any remove victim to fresh air and,0,0,0
176,keep at rest in a position comfortable for breathing if material has been swallowed and,0,0,0
177,the exposed person is conscious give small quantities of water to drink stop if the,0,0,0
178,exposed person feels sick as vomiting may be dangerous do not induce vomiting,0,0,0
179,unless directed to do so by medical personnel if vomiting occurs the head should be,0,0,0
180,kept low so that vomit does not enter the lungs get medical attention never give,0,0,0
181,anything by mouth to an unconscious person if unconscious place in recovery position,0,0,0
182,and get medical attention immediately maintain an open airway loosen tight clothing,0,0,0
183,such as a collar tie belt or waistband,0,0,0
184,,0,0,0
185,most important symptoms effects acute and delayed,0,0,0
186,potential acute health effects,0,0,0
187,eye contact,0,0,0
188,inhalation,0,0,0
189,skin contact,0,0,0
190,date of issue date of revision,0,0,0
191,,0,0,0
192,exposure to airborne concentrations above statutory or recommended exposure limits,0,0,0
193,may cause irritation of the eyes,0,0,0
194,exposure to airborne concentrations above statutory or recommended exposure limits,0,0,0
195,may cause irritation of the nose throat and lungs,0,0,0
196,no known significant effects or critical hazards,0,0,0
197,5 22 2015,0,0,0
198,,0,0,0
199,date of previous issue,0,0,0
200,,0,0,0
201,5 19 2015,0,0,0
202,,0,0,0
203,version,0,0,0
204,,0,0,0
205,2,0,0,0
206,,0,0,0
207,2 13,0,0,0
208,,0,0,0
209,sledgehammer heat cure powder,0,0,0
210,,0,0,0
211,section 4 first aid measures,1,0,0
212,ingestion,0,0,0
213,,0,0,0
214,no known significant effects or critical hazards,0,0,0
215,,0,0,0
216,over exposure signs symptoms,0,0,0
217,eye contact,0,0,0
218,,0,0,0
219,inhalation,0,0,0
220,,0,0,0
221,skin contact,0,0,0
222,,0,0,0
223,ingestion,0,0,0
224,,0,0,0
225,adverse symptoms may include the following,0,0,0
226,irritation,0,0,0
227,redness,0,0,0
228,adverse symptoms may include the following,0,0,0
229,suspected of damaging fertility,0,0,0
230,may damage the unborn child,0,0,0
231,respiratory tract irritation,0,0,0
232,coughing,0,0,0
233,adverse symptoms may include the following,0,0,0
234,suspected of damaging fertility,0,0,0
235,may damage the unborn child,0,0,0
236,adverse symptoms may include the following,0,0,0
237,suspected of damaging fertility,0,0,0
238,may damage the unborn child,0,0,0
239,,0,0,0
240,indication of immediate medical attention and special treatment needed if necessary,0,0,0
241,notes to physician,0,0,0
242,specific treatments,0,0,0
243,protection of first aiders,0,0,0
244,,0,0,0
245,treat symptomatically contact poison treatment specialist immediately if large,0,0,0
246,quantities have been ingested or inhaled,0,0,0
247,no specific treatment,0,0,0
248,no action shall be taken involving any personal risk or without suitable training if it is,0,0,0
249,suspected that fumes are still present the rescuer should wear an appropriate mask or,0,0,0
250,self contained breathing apparatus it may be dangerous to the person providing aid to,0,0,0
251,give mouth to mouth resuscitation wash contaminated clothing thoroughly with water,0,0,0
252,before removing it or wear gloves,0,0,0
253,,0,0,0
254,see toxicological information section 11,0,0,0
255,,0,0,0
256,section 5 fire fighting measures,1,0,0
257,extinguishing media,0,0,0
258,suitable extinguishing,0,0,0
259,media,0,0,0
260,,0,0,0
261,use dry chemical powder,0,0,0
262,,0,0,0
263,unsuitable extinguishing,0,0,0
264,media,0,0,0
265,,0,0,0
266,do not use water jet,0,0,0
267,,0,0,0
268,specific hazards arising,0,0,0
269,from the chemical,0,0,0
270,hazardous thermal,0,0,0
271,decomposition products,0,0,0
272,,0,0,0
273,special protective actions,0,0,0
274,for fire fighters,0,0,0
275,,0,0,0
276,special protective,0,0,0
277,equipment for fire fighters,0,0,0
278,,0,0,0
279,date of issue date of revision,0,0,0
280,,0,0,0
281,fine dust clouds may form explosive mixtures with air,0,0,0
