,sentence,title,key,value
0,44 2 2,0,0,0
1,,0,0,0
2,page 1 12,0,0,0
3,,0,0,0
4,safety data sheet sds,0,0,0
5,osha hazcom standard 29 cfr 1910 1200 g and ghs rev 03,0,0,0
6,,0,0,0
7,issue date 02 13 2017,0,0,0
8,,0,0,0
9,,0,0,0
10,reviewed on 02 13 2017,0,0,0
11,,0,0,0
12,1 identification,1,0,0
13,product identifier,0,0,0
14,trade name trifluoroacetic acid tfa,0,0,0
15,product number ngt tfa,0,0,0
16,cas number,0,0,0
17,76 05 1,0,0,0
18,ec number,0,0,0
19,200 929 3,0,0,0
20,index number,0,0,0
21,607 091 00 1,0,0,0
22,relevant identified uses of the substance or mixture and uses advised against,0,0,0
23,no further relevant information available,0,0,0
24,product description pc19 intermediate,0,0,0
25,details of the supplier of the safety data sheet,0,0,0
26,tfa pharmacutical grade manufactured by rhodia,0,0,0
27,manufacturer supplier,0,0,0
28,nugeneration technologies llc dba nugentec,0,0,0
29,1155 park avenue emeryville ca 94608,0,0,0
30,salesteam nugentec com,0,0,0
31,www nugentec com,0,0,0
32,1 888 996 8436 or 1 707 820 4080 for product information,0,0,0
33,emergency telephone number,0,0,0
34,pers emergency response domestic and canada 1 800 633 8253 international 1 801 629 0667,0,0,0
35,,0,0,0
36,,0,0,0
37,,0,0,0
38,2 hazard s identification,1,0,0
39,classification of the substance or mixture,0,0,0
40,,0,0,0
41,,0,0,0
42,,0,0,0
43,d,0,0,0
44,,0,0,0
45,ghs05 corrosion,0,0,0
46,,0,0,0
47,skin corr 1a,0,0,0
48,,0,0,0
49,,0,0,0
50,,0,0,0
51,d,0,0,0
52,,0,0,0
53,h314 causes severe skin burns and eye damage,0,0,0
54,,0,0,0
55,ghs07,0,0,0
56,,0,0,0
57,acute tox 4,0,0,0
58,,0,0,0
59,h332 harmful if inhaled,0,0,0
60,,0,0,0
61,aquatic chronic 3 h412 harmful to aquatic life with long lasting effects,0,0,0
62,label elements,0,0,0
63,ghs label elements,0,0,0
64,the substance is classified and labeled according to the globally harmonized system ghs,0,0,0
65,hazard pictograms,0,0,0
66,,0,0,0
67,d,0,0,0
68,,0,0,0
69,d,0,0,0
70,,0,0,0
71,,0,0,0
72,ghs05 ghs07,0,0,0
73,,0,0,0
74,signal word danger,0,0,0
75,,0,0,0
76,contd on page 2,0,0,0
77,us,0,0,0
78,,0,0,0
79,44 2 2,0,0,0
80,,0,0,0
81,page 2 12,0,0,0
82,,0,0,0
83,safety data sheet sds,0,0,0
84,osha hazcom standard 29 cfr 1910 1200 g and ghs rev 03,0,0,0
85,,0,0,0
86,issue date 02 13 2017,0,0,0
87,,0,0,0
88,reviewed on 02 13 2017,0,0,0
89,,0,0,0
90,trade name trifluoroacetic acid tfa,0,0,0
91,hazard determining components of labeling,0,0,0
92,trifluoroacetic acid,0,0,0
93,hazard statements,0,0,0
94,h332 harmful if inhaled,0,0,0
95,h314 causes severe skin burns and eye damage,0,0,0
96,h412 harmful to aquatic life with long lasting effects,0,0,0
97,precautionary statements,0,0,0
98,p260,0,0,0
99,do not breathe dusts or mists,0,0,0
100,p261,0,0,0
101,avoid breathing dust fume gas mist vapors spray,0,0,0
102,p271,0,0,0
103,use only outdoors or in a well ventilated area,0,0,0
104,p280,0,0,0
105,wear protective gloves protective clothing eye protection face protection,0,0,0
106,p273,0,0,0
107,avoid release to the environment,0,0,0
108,p264,0,0,0
109,wash thoroughly after handling,0,0,0
110,p303 p361 p353 if on skin or hair take off immediately all contaminated clothing rinse skin with,0,0,0
111,water shower,0,0,0
112,p305 p351 p338 if in eyes rinse cautiously with water for several minutes remove contact lenses,0,0,0
113,if present and easy to do continue rinsing,0,0,0
114,p310,0,0,0
115,immediately call a poison center doctor,0,0,0
116,p321,0,0,0
117,specific treatment see supplementary first aid instructions on this safety data,0,0,0
118,sheet,0,0,0
119,p304 p340,0,0,0
120,if inhaled remove person to fresh air and keep comfortable for breathing,0,0,0
121,p312,0,0,0
122,call a poison center doctor if you feel unwell,0,0,0
123,p363,0,0,0
124,wash contaminated clothing before reuse,0,0,0
125,p301 p330 p331 if swallowed rinse mouth do not induce vomiting,0,0,0
126,p405,0,0,0
127,store locked up,0,0,0
128,p501,0,0,0
129,dispose of contents container in accordance with local regional national,0,0,0
130,international regulations,0,0,0
131,unknown acute toxicity,0,0,0
132,this value refers to knowledge of known established toxicological or ecotoxicological values,0,0,0
133,0 of the mixture consists of component s of unknown toxicity,0,0,0
134,classification system nfpa hmis definitions 0 least 1 slight 2 moderate 3 high 4 extreme,0,0,0
135,nfpa ratings scale 0 4,0,0,0
136,,0,0,0
137,3,0,0,0
138,,0,0,0
139,1,0,0,0
140,,0,0,0
141,health 3,0,0,0
142,fire 1,0,0,0
143,reactivity 0,0,0,0
144,,0,0,0
145,0,0,0,0
146,,0,0,0
147,hmis ratings scale 0 4,0,0,0
148,health,0,0,0
149,,0,0,0
150,4,0,0,0
151,,0,0,0
152,fire,0,0,0
153,,0,0,0
154,1,0,0,0
155,,0,0,0
156,reactivity 0,0,0,0
157,,0,0,0
158,health 4,0,0,0
159,fire 1,0,0,0
160,reactivity 0,0,0,0
161,,0,0,0
162,hazard s not otherwise classified hnoc none known,0,0,0
163,us,0,0,0
164,,0,0,0
165,contd on page 3,0,0,0
166,,0,0,0
167,44 2 2,0,0,0
168,,0,0,0
169,page 3 12,0,0,0
170,,0,0,0
171,safety data sheet sds,0,0,0
172,osha hazcom standard 29 cfr 1910 1200 g and ghs rev 03,0,0,0
173,,0,0,0
174,issue date 02 13 2017,0,0,0
175,,0,0,0
176,reviewed on 02 13 2017,0,0,0
177,,0,0,0
178,trade name trifluoroacetic acid tfa,0,0,0
179,,0,0,0
180,3 composition information on ingredients,1,0,0
181,chemical characterization substance,0,0,0
182,cas no description,0,0,0
183,76 05 1 trifluoroacetic acid,0,0,0
184,identification number s,0,0,0
185,ec number 200 929 3,0,0,0
186,index number 607 091 00 1,0,0,0
187,,0,0,0
188,,0,0,0
189,4 first aid measures,1,0,0
190,description of first aid measures,0,0,0
191,general information,0,0,0
192,immediately remove any clothing soiled by the product,0,0,0
193,symptoms of poisoning may occur after exposure to dust fumes or particulates seek medical attention,0,0,0
194,if feeling unwell,0,0,0
195,after inhalation,0,0,0
