,sentence,title,key,value
0,safety data sheet,0,0,0
1,gylcol ether dpm,0,0,0
2,in case of transportation emergency contact,0,0,0
3,,0,0,0
4,chemtrec 800 424 9300,0,0,0
5,all other inquiries,0,0,0
6,770 904 7042 www ciscochem com,0,0,0
7,266 rue cezzan lavonia ga 30553,0,0,0
8,,0,0,0
9,1 identification,1,0,0
10,product name,0,0,0
11,,0,0,0
12,glycol ether dpm,0,0,0
13,,0,0,0
14,cas no,0,0,0
15,,0,0,0
16,34590 94 8,0,0,0
17,,0,0,0
18,proper name,0,0,0
19,,0,0,0
20,dipropylene glycol monomethyl ether,0,0,0
21,,0,0,0
22,2 hazards identification,1,0,0
23,caution combustible liquid and vapor may cause anesthetic effects keep upwind of spill,0,0,0
24,isolate area,0,0,0
25,hazard rating system,0,0,0
26,nfpa,0,0,0
27,health,0,0,0
28,1,0,0,0
29,,0,0,0
30,fire,0,0,0
31,2,0,0,0
32,,0,0,0
33,reactivity,0,0,0
34,0,0,0,0
35,,0,0,0
36,osha hazard communication standard,0,0,0
37,this product is a hazardous chemical as defined by the osha hazard communication standard 29 cfr 1910 1200,0,0,0
38,potential health effects,0,0,0
39,eye contact may cause slight temporary eye irritation corneal injury is unlikely,0,0,0
40,skin contact prolonged exposure not likely to cause significant skin irritation,0,0,0
41,skin absorption prolonged skin contact with very large amounts may cause dizziness or drowsiness,0,0,0
42,inhalation excessive exposure may cause irritation to upper respiratory tract nose and throat symptoms of excessive exposure,0,0,0
43,may be anesthetic or narcotic effects dizziness and drowsiness may be observed,0,0,0
44,ingestion very low toxicity if swallowed harmful effects not anticipated from swallowing small amounts,0,0,0
45,aspiration hazard based on physical properties not likely to be an aspiration hazard,0,0,0
46,effects of repeated exposure symptoms of excessive exposure may be anesthetic or narcotic effects dizziness and drowsiness may,0,0,0
47,be observed,0,0,0
48,reproductive effects for similar material s in laboratory animal studies effects on reproduction have been seen only at doses that,0,0,0
49,produced significant toxicity to the parent animals,0,0,0
50,,0,0,0
51,3 composition,1,0,0
52,component,0,0,0
53,,0,0,0
54,sds gylcol ether dpm,0,0,0
55,,0,0,0
56,cas,0,0,0
57,,0,0,0
58,page 1,0,0,0
59,,0,0,0
60,amount by weight,0,0,0
61,,0,0,0
62,dipropylene glycol monomethyl ether,0,0,0
63,,0,0,0
64,34590 94 8,0,0,0
65,,0,0,0
66,99 0,0,0,0
67,,0,0,0
68,4 first aid measures,1,0,0
69,description of first aid measures,0,0,0
70,general advice first aid responders should pay attention to self protection and use the recommended protective clothing chemical,0,0,0
71,resistant gloves splash protection if potential for exposure exists refer to section 8 for specific personal protective equipment,0,0,0
72,inhalation move person to fresh air if not breathing give artificial respiration if by mouth to mouth use rescuer protection pocket,0,0,0
73,mask etc if breathing is difficult oxygen should be administered by qualified personnel call a physician or transport to a medical,0,0,0
74,facility,0,0,0
75,skin contact wash skin with plenty of water,0,0,0
76,eye contact flush eyes thoroughly with water for several minutes remove contact lenses after the initial 1 2 minutes and continue,0,0,0
77,flushing for several additional minutes if effects occur consult a physician preferably an ophthalmologist,0,0,0
78,ingestion no emergency medical treatment necessary,0,0,0
79,most important symptoms and effects both acute and delayed,0,0,0
80,aside from the information found under description of first aid measures above and indication of immediate medical attention and,0,0,0
81,special treatment needed below any additional important symptoms and effects are described in section 11 toxicology,0,0,0
82,information,0,0,0
83,indication of immediate medical attention and special treatment needed,0,0,0
