,sentence,title,key,value
0,safety data sheet,0,0,0
1,material name quilon h chromium complex,0,0,0
2,,0,0,0
3,section 1 identification of the substance preparation and the company undertaking,0,0,0
4,manufacturer information,0,0,0
5,zaclon llc,0,0,0
6,2981 independence road,0,0,0
7,cleveland oh 44115,0,0,0
8,,0,0,0
9,phone 216 271 1569 or 800 356 7327,0,0,0
10,fax 216 271 1792,0,0,0
11,emergency 800 424 9300 chemtrec,0,0,0
12,,0,0,0
13,section 2 composition information on ingredients,1,0,0
14,ec,0,0,0
15,200 661 7,0,0,0
16,200 662 2,0,0,0
17,231 791 2,0,0,0
18,239 286 9,0,0,0
19,,0,0,0
20,239 730 1,0,0,0
21,,0,0,0
22,201 161 1,0,0,0
23,,0,0,0
24,component,0,0,0
25,isopropyl alcohol,0,0,0
26,67 63 0,0,0,0
27,acetone,0,0,0
28,67 64 1,0,0,0
29,water,0,0,0
30,7732 18 5,0,0,0
31,chromium tetrachloro hydroxy octadecanoato o o di15242 96 3,0,0,0
32,chromium tetrachloro hydroxy tetradecanoato o o di15659 56 0,0,0,0
33,chloroacetone,0,0,0
34,78 95 5,0,0,0
35,,0,0,0
36,percent,0,0,0
37,30 61,0,0,0
38,,0,0,0
39,symbols,0,0,0
40,xi,0,0,0
41,,0,0,0
42,risks,0,0,0
43,r 11 36 67,0,0,0
44,,0,0,0
45,10 16,0,0,0
46,,0,0,0
47,xi,0,0,0
48,,0,0,0
49,r 11 36 66 67,0,0,0
50,,0,0,0
51,3 7 13,0,0,0
52,2 85 4 6,0,0,0
53,,0,0,0
54,2 85 4 6,0,0,0
55,,0,0,0
56,0 3,0,0,0
57,,0,0,0
58,section 3 hazards identification,1,0,0
59,human and environmental hazards,0,0,0
60,causes eye burns may cause irritation of the skin nose and throat ingestion of this material may cause,0,0,0
61,gastrointestinal tract irritation,0,0,0
62,,0,0,0
63,section 4 first aid measures,1,0,0
64,first aid eyes,0,0,0
65,in case of contact immediately flush eyes with plenty of water for at least 15 minutes call a physician,0,0,0
66,first aid skin,0,0,0
67,flush skin with water after contact wash contaminated clothing before reuse,0,0,0
68,first aid ingestion,0,0,0
69,if swallowed do not induce vomiting give two glasses of water or activated charcoal slurry call a physician,0,0,0
70,never give anything by mouth to an unconscious person,0,0,0
71,first aid inhalation,0,0,0
72,if inhaled remove to fresh air if not breathing give artificial respiration if breathing is difficult give oxygen call a,0,0,0
73,physician,0,0,0
74,first aid notes to physician,0,0,0
75,to prepare activated charcoal slurry suspend 50 gm of activated charcoal in 400 ml of water in a bottle and,0,0,0
76,shake well give 5 ml kg of body weight or 350 ml for an average adult,0,0,0
77,,0,0,0
78,section 5 fire fighting measures,1,0,0
79,general fire hazards,0,0,0
80,product is a flammable liquid,0,0,0
81,hazardous combustion products,0,0,0
82,decomposes with heat solvent vapors and gaseous hydrogen chloride will be emitted,0,0,0
83,extinguishing media,0,0,0
84,water dry chemical alcohol foam co2,0,0,0
85,fire fighting equipment instructions,0,0,0
86,firefighters should wear full protective gear evacuate personnel to a safe area cool tank container with water,0,0,0
87,spray,0,0,0
88,,0,0,0
89,____________________________________________________________,0,0,0
90,page 1 of 7,0,0,0
91,,0,0,0
92,issue date 12 27 10,0,0,0
93,,0,0,0
94,revision 1 0000,0,0,0
95,,0,0,0
96,print date 12 28 2010,0,0,0
97,,0,0,0
98,safety data sheet,0,0,0
99,material name quilon h chromium complex,0,0,0
100,,0,0,0
101,section 6 accidental release measures,1,0,0
102,containment procedures,0,0,0
103,remove source of heat sparks flame impact friction or electricity stop the flow of material if this is without risk,0,0,0
104,clean up procedures,0,0,0
105,wear protective clothing dike spill soak up with sand earth or other non combustible absorbent material and,0,0,0
106,dispose of in covered metal containers prevent liquid from entering sewers waterways or low area after bulk,0,0,0
107,removal flush spill area with plenty of water,0,0,0
108,evacuation procedures,0,0,0
109,isolate area keep unnecessary personnel away,0,0,0
110,special procedures,0,0,0
111,none,0,0,0
112,,0,0,0
113,section 7 handling and storage,1,0,0
114,handling procedures,0,0,0
115,do not get in eyes avoid breathing vapors or mist wash thoroughly after handling avoid contact with skin and,0,0,0
116,clothing,0,0,0
117,storage procedures,0,0,0
118,keep away from heat sparks and flame keep containers tightly closed and in an upright position do not store or,0,0,0
119,mix with oxidizing agents best temperature for stability is below 32 deg c 90 deg f and above freezing point,0,0,0
120,specific use,0,0,0
121,paper treatment,0,0,0
122,,0,0,0
123,section 8 exposure controls personal protection,1,0,0
124,substance exposure limits,0,0,0
125,isopropyl alcohol 200 661 7,0,0,0
126,acgih,0,0,0
127,austria,0,0,0
128,,0,0,0
129,belgium,0,0,0
130,denmark,0,0,0
131,finland,0,0,0
132,france,0,0,0
133,germany,0,0,0
134,,0,0,0
135,greece,0,0,0
136,ireland,0,0,0
137,,0,0,0
138,portugal,0,0,0
139,spain,0,0,0
140,sweden,0,0,0
141,,0,0,0
142,400 ppm stel,0,0,0
143,200 ppm twa,0,0,0
144,800 ppm stel 4 x 15 min 2000 mg m3 stel 4 x 15 min 800 ppm stel stel for large,0,0,0
145,casting 4 x 30 min 2000 mg m3 stel stel for large casting 4 x 30 min,0,0,0
146,200 ppm mak 500 mg m3 mak short time value for large casting,0,0,0
147,400 ppm stel 1000 mg m3 stel,0,0,0
148,200 ppm twa 500 mg m3 twa,0,0,0
149,200 ppm twa 490 mg m3 twa,0,0,0
150,250 ppm stel 620 mg m3 stel,0,0,0
151,200 ppm twa 500 mg m3 twa,0,0,0
152,400 ppm vlct 980 mg m3 vlct,0,0,0
153,200 ppm twa exposure factor 2 500 mg m3 twa exposure factor 2,0,0,0
154,50 mg l medium whole blood time end of shift parameter acetone 50 mg l medium urine,0,0,0
155,time end of shift parameter acetone,0,0,0
156,200 ppm mak 500 mg m3 mak,0,0,0
157,400 ppm peak 1000 mg m3 peak,0,0,0
158,500 ppm stel 1225 mg m3 stel,0,0,0
159,400 ppm twa 980 mg m3 twa,0,0,0
160,400 ppm stel,0,0,0
161,200 ppm twa,0,0,0
162,potential for cutaneous absorption,0,0,0
163,200 ppm twa,0,0,0
164,500 ppm vla ec 1250 mg m3 vla ec,0,0,0
165,400 ppm vla ed 998 mg m3 vla ed,0,0,0
166,150 ppm llv 350 mg m3 llv,0,0,0
167,250 ppm stv 600 mg m3 stv,0,0,0
168,,0,0,0
169,____________________________________________________________,0,0,0
170,page 2 of 7,0,0,0
171,,0,0,0
172,issue date 12 27 10,0,0,0
173,,0,0,0
174,revision 1 0000,0,0,0
175,,0,0,0
176,print date 12 28 2010,0,0,0
177,,0,0,0
178,safety data sheet,0,0,0
179,material name quilon h chromium complex,0,0,0
180,acetone 200 662 2,0,0,0
181,acgih,0,0,0
182,austria,0,0,0
183,belgium,0,0,0
184,denmark,0,0,0
185,finland,0,0,0
186,france,0,0,0
187,germany,0,0,0
188,,0,0,0
189,greece,0,0,0
190,ireland,0,0,0
191,italy,0,0,0
192,netherlands,0,0,0
193,portugal,0,0,0
194,spain,0,0,0
195,sweden,0,0,0
196,,0,0,0
197,750 ppm stel,0,0,0
198,500 ppm twa,0,0,0
199,2000 ppm stel 4 x 15 min 4800 mg m3 stel 4 x 15 min,0,0,0
200,500 ppm mak 1200 mg m3 mak,0,0,0
201,1000 ppm stel 2420 mg m3 stel,0,0,0
202,500 ppm twa 1210 mg m3 twa,0,0,0
203,250 ppm twa 600 mg m3 twa,0,0,0
204,630 ppm stel 1500 mg m3 stel,0,0,0
205,500 ppm twa 1200 mg m3 twa,0,0,0
206,1000 ppm vlct restrictive limit 2420 mg m3 vlct restrictive limit,0,0,0
207,500 ppm vme restrictive limit 1210 mg m3 vme restrictive limit,0,0,0
208,500 ppm twa exposure factor 2 1200 mg m3 twa exposure factor 2,0,0,0
209,80 mg l medium urine time end of shift parameter acetone,0,0,0
210,500 ppm mak 1200 mg m3 mak,0,0,0
