,sentence,title,key,value
0,safety data sheet,0,0,0
1,page 1 14,0,0,0
2,basf safety data sheet according to un ghs 4th rev,0,0,0
3,date revised 21 11 2017,0,0,0
4,product tinuvin 1130,0,0,0
5,,0,0,0
6,version 3 0,0,0,0
7,id no 30080322 sds_gen_00 en,0,0,0
8,date of print 22 11 2017,0,0,0
9,,0,0,0
10,1 identification,1,0,0
11,product identifier,0,0,0
12,,0,0,0
13,tinuvin 1130,0,0,0
14,chemical name reaction mass of alpha 3 3 2h benzotriazol 2 yl 5 tert butyl 4hydroxyphenyl propionyl omega hydroxypoly oxyethylene and alpha 3 3 2h benzotriazol 2 yl 5tert butyl 4 hydroxyphenyl propionyl omega 3 3 2h benzotriazol 2 yl 5 tert butyl 4hydroxyphenyl propionyloxypoly oxyethylene,0,0,0
15,index number 607 176 00 3,0,0,0
16,,0,0,0
17,relevant identified uses of the substance or mixture and uses advised against,0,0,0
18,relevant identified uses stabilizer,0,0,0
19,,0,0,0
20,details of the supplier of the safety data sheet,0,0,0
21,company,0,0,0
22,basf se,0,0,0
23,67056 ludwigshafen,0,0,0
24,germany,0,0,0
25,regional business unit dispersions and,0,0,0
26,resins europe,0,0,0
27,telephone 49 621 60 90799,0,0,0
28,e mail address ed psr basf com,0,0,0
29,,0,0,0
30,emergency telephone number,0,0,0
31,international emergency number,0,0,0
32,telephone 49 180 2273 112,0,0,0
33,,0,0,0
34,2 hazards identification,1,0,0
35,classification of the substance or mixture,0,0,0
36,,0,0,0
37,page 2 14,0,0,0
38,basf safety data sheet according to un ghs 4th rev,0,0,0
39,date revised 21 11 2017,0,0,0
40,product tinuvin 1130,0,0,0
41,,0,0,0
42,version 3 0,0,0,0
43,id no 30080322 sds_gen_00 en,0,0,0
44,date of print 22 11 2017,0,0,0
45,,0,0,0
46,according to un ghs criteria,0,0,0
47,skin sens 1a,0,0,0
48,aquatic acute 2,0,0,0
49,aquatic chronic 2,0,0,0
50,for the classifications not written out in full in this section the full text can be found in section 16,0,0,0
51,,0,0,0
52,label elements,0,0,0
53,globally harmonized system ghs,0,0,0
54,pictogram,0,0,0
55,,0,0,0
56,signal word,0,0,0
57,warning,0,0,0
58,hazard statement,0,0,0
59,h317,0,0,0
60,h401,0,0,0
61,h411,0,0,0
62,,0,0,0
63,may cause an allergic skin reaction,0,0,0
64,toxic to aquatic life,0,0,0
65,toxic to aquatic life with long lasting effects,0,0,0
66,,0,0,0
67,precautionary statements prevention,0,0,0
68,p280,0,0,0
69,wear protective gloves,0,0,0
70,p261,0,0,0
71,avoid breathing dust fume gas mist vapours spray,0,0,0
72,p273,0,0,0
73,avoid release to the environment,0,0,0
74,p272,0,0,0
75,contaminated work clothing should not be allowed out of the workplace,0,0,0
76,precautionary statements response,0,0,0
77,p303 p352,0,0,0
78,if on skin or hair wash with plenty of soap and water,0,0,0
79,p333 p311,0,0,0
80,if skin irritation or rash occurs call a poison center or,0,0,0
81,doctor physician,0,0,0
82,p362 p364,0,0,0
83,take off contaminated clothing and wash it before reuse,0,0,0
84,p391,0,0,0
85,collect spillage,0,0,0
86,precautionary statements disposal,0,0,0
87,p501,0,0,0
88,dispose of contents container to hazardous or special waste collection,0,0,0
89,point,0,0,0
90,,0,0,0
91,according to un ghs criteria,0,0,0
92,hazard determining component s for labelling hydroxyphenyl benzotriazole derivative,0,0,0
93,,0,0,0
94,other hazards,0,0,0
95,,0,0,0
96,page 3 14,0,0,0
97,basf safety data sheet according to un ghs 4th rev,0,0,0
98,date revised 21 11 2017,0,0,0
99,product tinuvin 1130,0,0,0
100,,0,0,0
101,version 3 0,0,0,0
102,id no 30080322 sds_gen_00 en,0,0,0
103,date of print 22 11 2017,0,0,0
104,,0,0,0
105,according to un ghs criteria,0,0,0
106,no specific dangers known if the regulations notes for storage and handling are considered,0,0,0
107,,0,0,0
108,3 composition information on ingredients,1,0,0
109,substances,0,0,0
110,chemical nature,0,0,0
111,light stabilizer,0,0,0
112,poly oxy 1 2 ethanediyl alpha 3 3 2h benzotriazol 2 yl 5 1 1 dimethylethyl 4 hydroxyphenyl 1 oxopropyl omega hydroxy content w w 25 75,0,0,0
113,cas number 104810 48 2,0,0,0
114,poly oxy 1 2 ethanediyl alpha 3 3 2h benzotriazol 2 yl 5 1 1 dimethylethyl 4 hydroxyphenyl 1 oxopropyl omega 3 3 2 h benzotriazol 2 yl 5 1 1 dimethylethyl 4 hydroxyphenyl 1oxopropoxy content w w 25 50,0,0,0
115,cas number 104810 47 1,0,0,0
116,,0,0,0
117,hazardous ingredients ghs,0,0,0
118,according to un ghs criteria,0,0,0
119,benzenepropanoic acid 3 2h benzotriazol 2 yl 5 1 1 dimethylethyl 4 hydroxy methyl ester,0,0,0
120,content w w 1 3,0,0,0
121,aquatic chronic 4,0,0,0
122,cas number 84268 33 7,0,0,0
123,h413,0,0,0
124,ec number 400 820 2,0,0,0
125,,0,0,0
126,poly oxy 1 2 ethanediyl alpha 3 3 2h benzotriazol 2 yl 5 1 1 dimethylethyl 4 hydroxyphenyl 1 oxopropyl omega 3 3 2h,0,0,0
127,content w w 25 50 skin sens 1a,0,0,0
128,cas number 104810 47 1,0,0,0
129,aquatic acute 2,0,0,0
130,aquatic chronic 2,0,0,0
131,h317 h401 h411,0,0,0
132,,0,0,0
133,poly oxy 1 2 ethanediyl alpha 3 3 2h benzotriazol 2 yl 5 1 1 dimethylethyl 4 hydroxyphenyl 1 oxopropyl omega hydroxycontent w w 25 75 skin sens 1a,0,0,0
134,cas number 104810 48 2,0,0,0
135,aquatic acute 2,0,0,0
136,aquatic chronic 2,0,0,0
137,h317 h401 h411,0,0,0
138,,0,0,0
139,for the classifications not written out in full in this section the full text can be found in section 16,0,0,0
140,,0,0,0
141,page 4 14,0,0,0
142,basf safety data sheet according to un ghs 4th rev,0,0,0
143,date revised 21 11 2017,0,0,0
144,product tinuvin 1130,0,0,0
145,,0,0,0
146,version 3 0,0,0,0
147,id no 30080322 sds_gen_00 en,0,0,0
148,date of print 22 11 2017,0,0,0
149,,0,0,0
150,mixtures,0,0,0
151,not applicable,0,0,0
152,,0,0,0
153,4 first aid measures,1,0,0
154,description of first aid measures,0,0,0
155,immediately remove contaminated clothing,0,0,0
156,if inhaled,0,0,0
157,if difficulties occur after vapour aerosol has been inhaled remove to fresh air and seek medical,0,0,0
158,attention,0,0,0
159,on skin contact,0,0,0
160,wash thoroughly with soap and water,0,0,0
161,on contact with eyes,0,0,0
162,wash affected eyes for at least 15 minutes under running water with eyelids held open,0,0,0
163,on ingestion,0,0,0
164,rinse mouth immediately and then drink plenty of water seek medical attention,0,0,0
165,,0,0,0
166,most important symptoms and effects both acute and delayed,0,0,0
167,symptoms the most important known symptoms and effects are described in the labelling see,0,0,0
168,section 2 and or in section 11 further important symptoms and effects are so far not known,0,0,0
169,,0,0,0
170,indication of any immediate medical attention and special treatment needed,0,0,0
171,treatment treat according to symptoms decontamination vital functions no known specific,0,0,0
172,antidote,0,0,0
173,,0,0,0
174,5 fire fighting measures,1,0,0
175,extinguishing media,0,0,0
176,suitable extinguishing media,0,0,0
177,water spray dry powder foam,0,0,0
178,unsuitable extinguishing media for safety reasons,0,0,0
179,water jet,0,0,0
180,,0,0,0
181,special hazards arising from the substance or mixture,0,0,0
182,harmful vapours,0,0,0
183,evolution of fumes fog the substances groups of substances mentioned can be released in case of,0,0,0
184,fire,0,0,0
185,,0,0,0
186,advice for fire fighters,0,0,0
187,special protective equipment,0,0,0
188,,0,0,0
189,page 5 14,0,0,0
190,basf safety data sheet according to un ghs 4th rev,0,0,0
191,date revised 21 11 2017,0,0,0
192,product tinuvin 1130,0,0,0
193,,0,0,0
194,version 3 0,0,0,0
195,id no 30080322 sds_gen_00 en,0,0,0
196,date of print 22 11 2017,0,0,0
197,,0,0,0
198,wear a self contained breathing apparatus,0,0,0
199,further information,0,0,0
200,the degree of risk is governed by the burning substance and the fire conditions contaminated,0,0,0
201,extinguishing water must be disposed of in accordance with official regulations,0,0,0
202,,0,0,0
203,6 accidental release measures,1,0,0
204,personal precautions protective equipment and emergency procedures,0,0,0
205,use personal protective clothing breathing protection required,0,0,0
206,,0,0,0
207,environmental precautions,0,0,0
208,contain contaminated water firefighting water do not discharge into drains surface,0,0,0
209,waters groundwater,0,0,0
210,,0,0,0
211,methods and material for containment and cleaning up,0,0,0
212,for large amounts pump off product,0,0,0
213,for residues pick up with suitable absorbent material dispose of absorbed material in accordance,0,0,0
214,with regulations,0,0,0
215,,0,0,0
216,7 handling and storage,1,0,0
217,precautions for safe handling,0,0,0
218,no special measures necessary provided product is used correctly,0,0,0
219,protection against fire and explosion,0,0,0
220,take precautionary measures against static discharges,0,0,0
221,,0,0,0
222,conditions for safe storage including any incompatibilities,0,0,0
223,further information on storage conditions keep container tightly closed and dry store in a cool,0,0,0
224,place,0,0,0
225,,0,0,0
226,specific end use s,0,0,0
227,see exposure scenario s in the attachment to this safety data sheet,0,0,0
228,,0,0,0
229,8 exposure controls personal protection,1,0,0
230,control parameters,0,0,0
231,components with occupational exposure limits,0,0,0
232,,0,0,0
233,25322 68 3 polyethylene glycol,0,0,0
234,,0,0,0
235,exposure controls,0,0,0
236,,0,0,0
237,page 6 14,0,0,0
238,basf safety data sheet according to un ghs 4th rev,0,0,0
239,date revised 21 11 2017,0,0,0
240,product tinuvin 1130,0,0,0
241,,0,0,0
242,version 3 0,0,0,0
243,id no 30080322 sds_gen_00 en,0,0,0
244,date of print 22 11 2017,0,0,0
245,,0,0,0
246,personal protective equipment,0,0,0
247,respiratory protection,0,0,0
248,suitable respiratory protection for higher concentrations or long term effect gas filter for,0,0,0
249,gases vapours of organic compounds boiling point 65 c e g en 14387 type a,0,0,0
250,hand protection,0,0,0
251,chemical resistant protective gloves en 374,0,0,0
252,suitable materials also with prolonged direct contact recommended protective index 6,0,0,0
253,corresponding 480 minutes of permeation time according to en 374,0,0,0
254,e g nitrile rubber 0 4 mm chloroprene rubber 0 5 mm polyvinylchloride 0 7 mm and other,0,0,0
255,supplementary note the specifications are based on tests literature data and information of glove,0,0,0
256,manufacturers or are derived from similar substances by analogy due to many conditions e g,0,0,0
257,temperature it must be considered that the practical usage of a chemical protective glove in,0,0,0
258,practice may be much shorter than the permeation time determined through testing,0,0,0
259,manufacturer s directions for use should be observed because of great diversity of types,0,0,0
260,eye protection,0,0,0
261,safety glasses with side shields frame goggles e g en 166,0,0,0
262,body protection,0,0,0
263,body protection must be chosen depending on activity and possible exposure e g apron protecting,0,0,0
264,boots chemical protection suit according to en 14605 in case of splashes or en iso 13982 in case,0,0,0
265,of dust,0,0,0
266,general safety and hygiene measures,0,0,0
267,handle in accordance with good industrial hygiene and safety practice wearing of closed work,0,0,0
268,clothing is required additionally to the stated personal protection equipment when using do not eat,0,0,0
269,drink or smoke hands and or face should be washed before breaks and at the end of the shift at,0,0,0
270,the end of the shift the skin should be cleaned and skin care agents applied,0,0,0
271,,0,0,0
272,9 physical and chemical properties,1,0,0
273,information on basic physical and chemical properties,0,0,0
274,form,0,0,0
275,colour,0,0,0
276,odour,0,0,0
277,odour threshold,0,0,0
278,ph value,0,0,0
279,,0,0,0
280,freezing point,0,0,0
281,boiling point,0,0,0
282,flash point,0,0,0
283,,0,0,0
284,liquid viscous,0,0,0
285,yellow to brownish,0,0,0
286,odourless,0,0,0
287,not determined,0,0,0
288,approx 6 5,0,0,0
289,10 g l 20 25 c,0,0,0
290,as suspension,0,0,0
291,30 c,0,0,0
292,1 013 hpa,0,0,0
293,166 c,0,0,0
294,0 011 kpa,0,0,0
295,218 c,0,0,0
296,,0,0,0
297,screening test,0,0,0
298,oecd guideline 103,0,0,0
299,din en 22719 iso 2719,0,0,0
300,closed cup,0,0,0
301,,0,0,0
302,page 7 14,0,0,0
303,basf safety data sheet according to un ghs 4th rev,0,0,0
304,date revised 21 11 2017,0,0,0
305,product tinuvin 1130,0,0,0
306,,0,0,0
307,version 3 0,0,0,0
308,id no 30080322 sds_gen_00 en,0,0,0
309,date of print 22 11 2017,0,0,0
310,,0,0,0
311,evaporation rate,0,0,0
312,flammability,0,0,0
